src_subject_id,session_id,run_id,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event02_filename,event02_filetype,event02_story_onset,event03_question_onset,event04_response_onset,event04_response_key,event04_response_keyname,event04_RT,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation_onset,RAW_e1_fixation_onset_biopac,RAW_e2_story_onset,RAW_e2_story_onset_biopac,RAW_e3_question_onset,RAW_e3_question_onset_biopac,RAW_e4_response_onset,RAW_param_final_fixation,RAW_param_end_instruct_onset
1,4,1,1607454375.25113,1607454375.25772,0.0391340160369871,12.0141212940216,2b_story.txt,false_belief,12.0532553100586,23.024989118576,27.4511618518829,1,left,4.42617273330688,593.321732273102,596.081732273102,1607454378.05026,1607454390.03176,1607454390.06438,1607454390.06627,1607454401.03612,1607454401.04574,1607454405.46229,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,29.5537588500977,11.9964542388916,2p_story.txt,false_photo,41.5502130889893,52.5386216545105,56.7365949058533,1,left,4.19797325134277,593.321732273102,596.081732273102,1607454407.56488,1607454419.54603,1607454419.56134,1607454419.56362,1607454430.54975,1607454430.56532,1607454434.74772,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,59.0623550319672,12.0014894008636,4p_story.txt,false_photo,71.0638444328308,82.0522539520264,84.8861169719696,2,right,2.83386301994324,593.321732273102,596.081732273102,1607454437.07348,1607454449.05918,1607454449.07497,1607454449.0833,1607454460.06338,1607454460.06672,1607454462.89724,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,88.574851026535,12.0026254653931,4b_story.txt,false_belief,100.577476491928,111.565885772705,116.093688001633,2,right,4.52780222892761,593.321732273102,596.081732273102,1607454466.58598,1607454478.5728,1607454478.5886,1607454478.59039,1607454489.57701,1607454489.58723,1607454494.10481,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,118.101963033676,11.9891459941864,1p_story.txt,false_photo,130.091109027863,141.079516878128,NaN,NaN,,NaN,593.321732273102,596.081732273102,1607454496.11309,1607454508.08747,1607454508.10224,1607454508.10579,1607454519.09064,1607454519.09243,NaN,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,147.601654996872,12.0030858516693,1b_story.txt,false_belief,159.604740848541,170.593148460388,173.288079013824,2,right,2.69493055343628,593.321732273102,596.081732273102,1607454525.61278,1607454537.6001,1607454537.61587,1607454537.62403,1607454548.60427,1607454548.60827,1607454551.29921,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,177.115624895096,12.0027465820312,3p_story.txt,false_photo,189.118371477127,200.106780042648,203.126463880539,1,left,3.01968383789062,593.321732273102,596.081732273102,1607454555.12675,1607454567.11382,1607454567.1295,1607454567.13125,1607454578.11791,1607454578.12787,1607454581.13759,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,206.629204978943,12.0027983188629,3b_story.txt,false_belief,218.632003297806,229.62041138649,232.627450933456,1,left,3.00703954696655,593.321732273102,596.081732273102,1607454584.64033,1607454596.62853,1607454596.64313,1607454596.64602,1607454607.63154,1607454607.63259,1607454610.63858,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,236.142745962143,12.0028896331787,10b_story.txt,false_belief,248.145635595322,259.134044160843,261.808745851517,1,left,2.67470169067383,593.321732273102,596.081732273102,1607454614.15387,1607454626.14094,1607454626.15676,1607454626.15845,1607454637.14517,1607454637.14957,1607454639.81987,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,265.65632604599,12.0029411315918,10p_story.txt,false_photo,277.659267177582,288.647675027847,291.323606958389,2,right,2.67593193054199,593.321732273102,596.081732273102,1607454643.66745,1607454655.65477,1607454655.67039,1607454655.67203,1607454666.6588,1607454666.66837,1607454669.33473,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,295.169970979691,12.0029277801514,9p_story.txt,false_photo,307.172898759842,318.161308040619,322.81816195488,2,right,4.65685391426086,593.321732273102,596.081732273102,1607454673.1811,1607454685.16965,1607454685.18402,1607454685.18715,1607454696.17243,1607454696.17386,1607454700.82929,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,324.683965911865,12.0025646686554,9b_story.txt,false_belief,336.686530580521,347.674939146042,350.698847045898,1,left,3.02390789985657,593.321732273102,596.081732273102,1607454702.69509,1607454714.68186,1607454714.69766,1607454714.6994,1607454725.68607,1607454725.69027,1607454728.70997,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,354.197610845566,12.0025508403778,6p_story.txt,false_photo,366.200161685944,377.188571205139,381.288375844955,2,right,4.09980463981628,593.321732273102,596.081732273102,1607454732.20874,1607454744.19559,1607454744.21129,1607454744.2133,1607454755.1997,1607454755.21026,1607454759.2995,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,383.710851898193,12.0029428005219,6b_story.txt,false_belief,395.713794698715,406.702202310562,410.379951944351,2,right,3.67774963378906,593.321732273102,596.081732273102,1607454761.72198,1607454773.71094,1607454773.72492,1607454773.72847,1607454784.71333,1607454784.71437,1607454788.39108,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,413.224482049942,12.0029447078705,7b_story.txt,false_belief,425.227426757813,436.215834369659,441.320770015717,2,right,5.10493564605713,593.321732273102,596.081732273102,1607454791.23561,1607454803.22281,1607454803.23855,1607454803.24018,1607454814.22696,1607454814.23197,1607454819.3319,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,442.73888586998,12.0021715164185,7p_story.txt,false_photo,454.741057386398,465.72946762085,467.791127910614,2,right,2.0616602897644,593.321732273102,596.081732273102,1607454820.75001,1607454832.73636,1607454832.75218,1607454832.75385,1607454843.74059,1607454843.75121,1607454845.80225,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,472.251803865433,12.0028855800629,8p_story.txt,false_photo,484.254689445496,495.243098487854,498.561859836578,1,left,3.31876134872437,593.321732273102,596.081732273102,1607454850.26293,1607454862.25219,1607454862.26582,1607454862.26955,1607454873.25422,1607454873.25563,1607454876.57299,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,501.765454998016,12.0028669834137,8b_story.txt,false_belief,513.76832198143,524.756730070114,527.757503023148,2,right,3.00077295303345,593.321732273102,596.081732273102,1607454879.77658,1607454891.76391,1607454891.77945,1607454891.78887,1607454902.76786,1607454902.77334,1607454905.76863,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,531.280087938309,12.0018649101257,5p_story.txt,false_photo,543.281952848434,554.270361652374,557.2211398983,2,right,2.9507782459259,593.321732273102,596.081732273102,1607454909.29121,1607454921.27733,1607454921.29308,1607454921.29485,1607454932.28149,1607454932.2921,1607454935.23227,1607454968.3148,1607454971.33286
1,4,1,1607454375.25113,1607454375.25772,560.792103996277,12.003481388092,5b_story.txt,false_belief,572.795585384369,583.783993234634,587.772808065414,1,left,3.98881483078003,593.321732273102,596.081732273102,1607454938.80323,1607454950.79339,1607454950.80671,1607454950.81087,1607454961.79512,1607454961.79629,1607454965.78393,1607454968.3148,1607454971.33286
