onset	duration	trial_type	pmod_accuracy
12.043329706192	11.0	false_belief	1
100.559672584534	11.0	false_belief	1
159.598356714249	11.0	false_belief	0
218.637039890289	11.0	false_belief	1
248.148045291901	11.0	false_belief	1
336.681060781479	11.0	false_belief	1
395.70307182312	11.0	false_belief	1
425.214076986313	11.0	false_belief	0
513.74709271431	11.0	false_belief	1
572.769102563858	11.0	false_belief	1
41.5376620197296	11.0	false_photo	1
71.0486681365967	11.0	false_photo	0
130.070677747726	11.0	false_photo	1
189.126035442352	11.0	false_photo	0
277.659050216675	11.0	false_photo	0
307.170056095123	11.0	false_photo	1
366.192065706253	11.0	false_photo	1
454.725082864761	11.0	false_photo	1
484.236088266373	11.0	false_photo	1
543.25809835434	11.0	false_photo	1
23.0140874290466	3.27612137794495	rating	1
52.5250921154022	5.4685046672821	rating	1
82.0360979938507	5.1164219379425	rating	0
111.547103872299	3.22021794319153	rating	1
141.074781646729	4.8718101978302	rating	1
170.602459659576	4.7940821647644	rating	0
200.113464822769	3.56780910491943	rating	0
229.624470462799	3.84816741943359	rating	1
259.13547586441	5.31576800346375	rating	1
288.646481027603		rating	0
318.15748714447	3.79206967353821	rating	1
347.668491830826	3.84191203117371	rating	1
377.179499139786	4.08217477798462	rating	1
406.690502157211	4.16145181655884	rating	1
436.20150803566		rating	0
465.712512960434	3.12711381912231	rating	1
495.223518362045	3.32814455032349	rating	1
524.734524002075	2.71199893951416	rating	1
554.245528926849	3.30719685554504	rating	1
583.756533613205	3.94047117233276	rating	1
