src_subject_id,param_session_id,run_num,param_counterbalance_ver,param_AR_invalid_sequence,param_valid_type,param_cue_location,param_target_location,param_trigger_onset,param_start_biopac,event01_param_jitter,event01_fixation_onset,event01_fixation_onset_biopac,event01_fixation_duration,event02_cue_type,event02_cue_onset,event02_cue_onset_biopac,event02_cue_duration,event03_target_type,event03_target_onset,event03_target_onset_biopac,event04_response_key,event04_response_keyname,event04_response_onset,event04_RT,event04_fixation_remainder_onset,event04_fixation_duration,event05_fixation_onset,event05_fixation_onset_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,RAW_event01_fixation_onset,RAW_event01_fixation_onset_biopac,RAW_event02_cue_onset,RAW_event02_cue_onset_biopac,RAW_event03_target_onset,RAW_event03_target_onset_biopac,RAW_event04_response_onset,RAW_event04_fixation_remainder_onset,RAW_event05_fixation_onset,RAW_event05_fixation_onset_biopac,RAW_param_end_instruct_onset,RAW_param_end_biopac,accuracy
55,4,1,55,0,valid,left,left,1629914190.56802,1629914190.57796,3.4,5.55547761917114,5.56206798553467,3.40216326713562,left,8.97341752052307,8.9750349521637,0.184905529022217,left,9.19016718864441,9.19239091873169,1,left,9.57303309440613,0.382865905761719,10.0905013084412,1.11713409423828,11.2075860500336,11.2129490375519,596.291167726517,596.292953004837,599.051167726517,1629914193.36349,1629914193.37009,1629914196.78143,1629914196.78305,1629914196.99818,1629914197.00041,1629914197.38105,1629914197.89852,1629914199.0156,1629914199.02097,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,right,right,1629914190.56802,1629914190.57796,5.3,11.5910618305206,11.5928139686584,5.30170607566833,right,16.9097118377686,16.920804977417,0.182526111602783,right,17.1097872257233,17.1113379001617,2,right,17.4198400974274,0.310052871704102,17.9267578125,1.1899471282959,19.1272065639496,19.1288840770721,596.291167726517,596.292953004837,599.051167726517,1629914199.39908,1629914199.40083,1629914204.71773,1629914204.72882,1629914204.9178,1629914204.91935,1629914205.22786,1629914205.73477,1629914206.93522,1629914206.9369,1629914789.61918,1629914789.62097,1
55,4,1,55,1,invalid,left,right,1629914190.56802,1629914190.57796,0.6,19.3772985935211,19.3792059421539,0.601373434066772,left,19.9941956996918,19.9960720539093,0.184177398681641,right,20.1942694187164,20.1963789463043,2,right,20.615730047226,0.421460628509521,21.1279518604279,1.07853937149048,22.2116887569427,22.2133679389954,596.291167726517,596.292953004837,599.051167726517,1629914207.18532,1629914207.18722,1629914207.80221,1629914207.80409,1629914208.00229,1629914208.0044,1629914208.42375,1629914208.93597,1629914210.01971,1629914210.02138,1629914789.61918,1629914789.62097,1
55,4,1,55,1,invalid,left,right,1629914190.56802,1629914190.57796,2,22.4617824554443,22.4635760784149,2.00150752067566,left,24.4792015552521,24.4810168743134,0.183583498001099,right,24.6792759895325,24.680890083313,2,right,24.9948670864105,0.315591096878052,25.5129210948944,1.18440890312195,26.6966931819916,26.704498052597,596.291167726517,596.292953004837,599.051167726517,1629914210.2698,1629914210.27159,1629914212.28722,1629914212.28903,1629914212.48729,1629914212.48891,1629914212.80288,1629914213.32094,1629914214.50471,1629914214.51252,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,right,right,1629914190.56802,1629914190.57796,0.6,26.9301154613495,26.9398338794708,0.601935625076294,right,27.5470123291016,27.5549058914185,0.18405556678772,right,27.7470865249634,27.7544438838959,2,right,28.1279199123383,0.380833387374878,28.6474235057831,1.11916661262512,29.7645063400269,29.7716400623322,596.291167726517,596.292953004837,599.051167726517,1629914214.73813,1629914214.74785,1629914215.35503,1629914215.36292,1629914215.5551,1629914215.56246,1629914215.93594,1629914216.45544,1629914217.57252,1629914217.57966,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,right,right,1629914190.56802,1629914190.57796,5,30.0145988464355,30.0211238861084,5.00144910812378,right,35.033136844635,35.0379400253296,0.18246603012085,right,35.2332119941711,35.2380909919739,2,right,35.5797169208527,0.346504926681519,36.1002025604248,1.15349507331848,37.2506308555603,37.2544569969177,596.291167726517,596.292953004837,599.051167726517,1629914217.82262,1629914217.82914,1629914222.84115,1629914222.84596,1629914223.04123,1629914223.04611,1629914223.38773,1629914223.90822,1629914225.05865,1629914225.06247,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,left,left,1629914190.56802,1629914190.57796,4,37.4840521812439,37.4876339435577,4.00118279457092,left,41.5022161006927,41.5045070648193,0.182904958724976,left,41.7022910118103,41.7045059204102,1,left,42.0217170715332,0.3194260597229,42.5359358787537,1.1805739402771,43.7197098731995,43.7237448692322,596.291167726517,596.292953004837,599.051167726517,1629914225.29207,1629914225.29565,1629914229.31023,1629914229.31252,1629914229.51031,1629914229.51252,1629914229.82973,1629914230.34395,1629914231.52773,1629914231.53176,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,right,right,1629914190.56802,1629914190.57796,0.6,43.9531297683716,43.9552090167999,0.601885318756104,right,44.5700280666351,44.5721409320831,0.184221029281616,right,44.7701020240784,44.7716879844666,2,right,45.051687002182,0.281584978103638,45.5704011917114,1.21841502189636,46.7875208854675,46.7888870239258,596.291167726517,596.292953004837,599.051167726517,1629914231.76115,1629914231.76323,1629914232.37805,1629914232.38016,1629914232.57812,1629914232.5797,1629914232.8597,1629914233.37842,1629914234.59554,1629914234.5969,1629914789.61918,1629914789.62097,1
55,4,1,55,0,valid,left,left,1629914190.56802,1629914190.57796,0.6,47.0209412574768,47.0225958824158,0.601391792297363,left,47.6378374099731,47.6394989490509,0.184948682785034,left,47.8379130363464,47.8399338722229,1,left,48.1942529678345,0.356339931488037,48.7049028873444,1.14366006851196,49.855331659317,49.8573050498962,596.291167726517,596.292953004837,599.051167726517,1629914234.82896,1629914234.83061,1629914235.44585,1629914235.44752,1629914235.64593,1629914235.64795,1629914236.00227,1629914236.51292,1629914237.66335,1629914237.66532,1629914789.61918,1629914789.62097,1
55,4,1,55,1,invalid,left,right,1629914190.56802,1629914190.57796,1.5,50.0887520313263,50.0903918743134,1.50114893913269,left,51.6059846878052,51.6079080104828,0.183669328689575,right,51.8060584068298,51.8073360919952,2,right,52.1897389888763,0.383680582046509,52.7063949108124,1.11631941795349,53.8234777450562,53.825187921524,596.291167726517,596.292953004837,599.051167726517,1629914237.89677,1629914237.89841,1629914239.414,1629914239.41593,1629914239.61408,1629914239.61535,1629914239.99776,1629914240.51441,1629914241.63149,1629914241.6332,1629914789.61918,1629914789.62097,1
