param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1614181590.77255,1614181595.79113,1614181598.7944,3.00326681137085,5,1614181598.80894,1614181618.8499,99,99,nan,1,1614181708.05049,2.7394232749939,0,1614181710.79238,120.019823789597
4,1614181590.77255,1614181623.86847,1614181626.87279,3.00431323051453,5,1614181626.88629,1614181646.91057,99,99,nan,2,1614181708.05049,2.7394232749939,0,1614181710.79238,120.019823789597
4,1614181590.77255,1614181651.92915,1614181654.92996,3.00081539154053,5,1614181654.94696,1614181674.97124,99,99,nan,1,1614181708.05049,2.7394232749939,0,1614181710.79238,120.019823789597
4,1614181590.77255,1614181679.98982,1614181682.99068,3.00086140632629,5,1614181683.00763,1614181703.03192,99,99,nan,2,1614181708.05049,2.7394232749939,0,1614181710.79238,120.019823789597
