src_subject_id,session_id,run_id,param_counterbalance_ver,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event01_blockquestion_onset,event01_block_isi_blacksreen,event01_blockquestion_dur,event02_image_onset,event02_image_dur,event03_response_onset,event03_response_key,event03_response_keyname,event03_RT,event04_shortquestion_onset,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation,RAW_e1_fixation_biopac,RAW_e1_blockquestion_onset,RAW_e1_blockquestion_onset_biopac,RAW_e1_block_isi_blacksreen,RAW_e2_image_onset,RAW_e2_image_onset_biopac,RAW_e3_response_onset,RAW_e4_shortquestion_onset,RAW_param_end_instruct_onset,accuracy
5,4,1,1,1,1,4,c4_HowHand,1,reaching?,106,H_006.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,2.03409767150879,2.26865743637085,0.633571624755859,2.90498899459839,1,left,0.606976985931396,2.90222906112671,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676966.01344,1613676966.0156,1613676966.64977,1613676966.64701,1613677568.22279,1
5,4,1,1,1,2,4,c4_HowHand,2,reaching?,105,H_438.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,3.21901391983032,0.783628225326538,4.00434397697449,1,left,0.770992994308472,4.00264214515686,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676966.96379,1613676966.96529,1613676967.74912,1613676967.74742,1613677568.22279,0
5,4,1,1,1,3,4,c4_HowHand,1,reaching?,111,H_003.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,4.31942676544189,0.600225925445557,4.92102717399597,1,left,0.590075016021729,4.91965269088745,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676968.0642,1613676968.0654,1613676968.66581,1613676968.66443,1613677568.22279,1
5,4,1,1,1,4,4,c4_HowHand,1,reaching?,109,H_474.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,5.2364382648468,0.666916370391846,5.90427707672119,1,left,0.644663095474243,5.90335463523865,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676968.98122,1613676968.98242,1613676969.64906,1613676969.64813,1613677568.22279,1
5,4,1,1,1,5,4,c4_HowHand,2,reaching?,108,H_532.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,6.22014092445374,0.550205945968628,6.77284907341003,2,right,0.524292945861816,6.77034687042236,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676969.96492,1613676969.96745,1613676970.51763,1613676970.51512,1613677568.22279,1
5,4,1,1,1,6,4,c4_HowHand,1,reaching?,110,H_364.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,7.08713268280029,0.566879749298096,7.65512203216553,1,left,0.556605815887451,7.65401243209839,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676970.83191,1613676970.833,1613676971.3999,1613676971.39879,1613677568.22279,1
5,4,1,1,1,7,4,c4_HowHand,1,reaching?,107,H_007.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,7.97079776763916,0.600225210189819,8.57192896842957,1,left,0.591350078582764,8.57102297782898,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676971.71558,1613676971.71653,1613676972.31671,1613676972.3158,1613677568.22279,1
5,4,1,1,1,8,4,c4_HowHand,2,reaching?,112,H_132.jpg,1613676960.98478,1613676961.00943,0.0511588954925535,0.0258162021636963,0.084504117965698,2.11860178947449,0.3,8.88780783653259,0.533533573150635,9.42246912956238,2,right,0.520231008529663,9.42134140968323,604.478013505936,607.238013505936,1613676963.79594,1613676963.80008,1613676963.82928,1613676963.8317,1613676965.86338,1613676972.63259,1613676972.63375,1613676973.16725,1613676973.16612,1613677568.22279,1
5,4,1,1,2,1,2,c2_WhyHand,1,healthy?,18,H_438.jpg,1613676960.98478,1613676961.00943,9.58807085990906,9.37633609771729,18.9749278926849,21.07571600914,2.10078811645508,21.2257728481293,0.750281095504761,21.9771959686279,1,left,0.729378938674927,21.976053943634,604.478013505936,607.238013505936,1613676973.33285,1613676973.33388,1613676982.71971,1613676982.72107,1613676984.82049,1613676984.97055,1613676984.97192,1613676985.72197,1613676985.72083,1613677568.22279,1
5,4,1,1,2,2,2,c2_WhyHand,2,healthy?,20,H_007.jpg,1613676960.98478,1613676961.00943,9.58807085990906,9.37633609771729,18.9749278926849,21.07571600914,0.3,22.2928399944305,0.550206661224365,22.8439891242981,1,left,0.531887054443359,22.8430466556549,604.478013505936,607.238013505936,1613676973.33285,1613676973.33388,1613676982.71971,1613676982.72107,1613676984.82049,1613676986.03762,1613676986.03882,1613676986.58877,1613676986.58782,1613677568.22279,0
