src_subject_id,session_id,run_num,param_experiment_start,param_memory_session_name,event01_fixation_onset,event01_fixation_duration,event02_image_onset,event02_image_filename,event02_dummy_stimuli_type,event03_isi_onset,param_end_instruct_onset,study_experiment_duration,RAW_param_experiment_start,RAW_param_start_biopac,RAW_event01_fixation_onset,RAW_event01_fixation_biopac,RAW_event02_image_onset,RAW_event02_image_biopac,RAW_event03_isi_onset,RAW_event03_isi_biopac,RAW_param_end_instruct_onset
98,4,2,300.471839179993,study02,-1642459494.94841,0,305.490378847122,obj115funnel.png,0,306.507424106598,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459800.43879,1642459800.44333,1642459801.45583,1642459801.45957,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,307.524470081329,obj150jar.png,0,308.541516056061,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459802.47288,1642459802.47617,1642459803.48992,1642459803.49288,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,309.558562269211,obj160ladder.png,0,310.575607528687,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459804.50697,1642459804.5096,1642459805.52402,1642459805.52612,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,311.592654457092,obj239rake.png,1,312.609699239731,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459806.54106,1642459806.54315,1642459807.55811,1642459807.55954,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,313.626745214462,obj029bomb.png,1,314.643791189194,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459808.57515,1642459808.57669,1642459809.5922,1642459809.59355,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,315.660837163925,obj099faucet.png,1,316.677883377075,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459810.60925,1642459810.61045,1642459811.62629,1642459811.628,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,317.694929113388,obj305toaster.png,1,318.71197508812,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459812.64334,1642459812.64477,1642459813.66038,1642459813.6685,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,319.729020824432,obj282spatula.png,1,320.746067752838,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459814.67743,1642459814.67874,1642459815.69448,1642459815.69609,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,321.763113012314,obj107flower.png,1,322.796832075119,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459816.71152,1642459816.72649,1642459817.74524,1642459817.74655,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,323.81387804985,obj047can.png,1,324.830924501419,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459818.76229,1642459818.76355,1642459819.77933,1642459819.78062,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,325.847969999313,obj043cage.png,1,326.865018119812,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459820.79638,1642459820.79761,1642459821.81343,1642459821.81455,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,327.882061948776,obj250rope.png,1,328.899106731415,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459822.83047,1642459822.8318,1642459823.84751,1642459823.84895,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,329.916152706146,obj013balloon.png,1,330.933199396133,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459824.86456,1642459824.86598,1642459825.88161,1642459825.88325,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,331.950244655609,obj248roof.png,1,332.983963718414,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459826.89865,1642459826.9098,1642459827.93237,1642459827.93409,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,334.001010408401,obj223pirate.png,1,335.018055906296,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459828.94942,1642459828.95975,1642459829.96646,1642459829.9762,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,336.051774969101,obj108flute.png,1,337.068820228577,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459831.00018,1642459831.00159,1642459832.01723,1642459832.01885,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,338.085867156982,obj092ear.png,1,339.119585981369,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459833.03428,1642459833.04672,1642459834.06799,1642459834.06951,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,340.136631479263,obj024bicycle.png,1,341.170350780487,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459835.08504,1642459835.09651,1642459836.11876,1642459836.1201,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,342.187395801544,obj057cherry.png,1,343.204442253113,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459837.1358,1642459837.14294,1642459838.15285,1642459838.15953,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,344.221487989426,obj067comb.png,1,345.238533725739,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459839.1699,1642459839.17621,1642459840.18694,1642459840.19295,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,346.255580177307,obj063city.png,1,347.272625675201,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459841.20399,1642459841.20966,1642459842.22103,1642459842.22651,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,348.289672365189,obj126gun.png,1,349.306718101501,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459843.23808,1642459843.24277,1642459844.25513,1642459844.25947,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,350.323763599396,obj322unicycle.png,1,351.340810289383,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459845.27217,1642459845.2761,1642459846.28922,1642459846.29288,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,352.357856264114,obj173lock.png,0,353.374901762009,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459847.30626,1642459847.30963,1642459848.32331,1642459848.32651,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,354.391946783066,obj276snail.png,0,355.408992519379,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459849.34035,1642459849.34912,1642459850.3574,1642459850.3598,1642459855.43673
98,4,2,300.471839179993,study02,-1642459494.94841,0,356.426039924622,obj341window.png,0,357.443084945679,360.488324155808,60.0164849758148,1642459795.42025,1642459795.4268,0,0,1642459851.37445,1642459851.37635,1642459852.39149,1642459852.39297,1642459855.43673
