param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1643056055.36397,1643056060.3825,1643056063.38713,3.00463032722473,5,1643056063.41697,1643056083.4411,NaN,NaN,NaN,2,1643056172.64103,2.73859667778015,0,1643056175.38256,120.018590211868
4,1643056055.36397,1643056088.45964,1643056091.46146,3.00182056427002,5,1643056091.47743,1643056111.50157,NaN,NaN,NaN,1,1643056172.64103,2.73859667778015,0,1643056175.38256,120.018590211868
4,1643056055.36397,1643056116.52011,1643056119.52163,3.00151991844177,5,1643056119.5379,1643056139.56203,NaN,NaN,NaN,2,1643056172.64103,2.73859667778015,0,1643056175.38256,120.018590211868
4,1643056055.36397,1643056144.58057,1643056147.58549,3.00492072105408,5,1643056147.59836,1643056167.6225,NaN,NaN,NaN,2,1643056172.64103,2.73859667778015,0,1643056175.38256,120.018590211868
