"subject","performance","count","percentage","task"
"70",18,20,90,"saxe"
"73",17,20,85,"saxe"
"74",14,19,73.6842105263158,"saxe"
"76",17,20,85,"saxe"
"79",18,20,90,"saxe"
"3",81,85,95.2941176470588,"posner"
"7",119,120,99.1666666666667,"posner"
"9",120,120,100,"posner"
"10",120,120,100,"posner"
"11",119,120,99.1666666666667,"posner"
"14",116,116,100,"posner"
"18",120,120,100,"posner"
"19",120,120,100,"posner"
"23",119,120,99.1666666666667,"posner"
"26",120,120,100,"posner"
"31",120,120,100,"posner"
"34",120,120,100,"posner"
"35",119,120,99.1666666666667,"posner"
"38",120,120,100,"posner"
"39",119,120,99.1666666666667,"posner"
"43",119,120,99.1666666666667,"posner"
"46",120,120,100,"posner"
"50",120,120,100,"posner"
"51",119,120,99.1666666666667,"posner"
"55",118,119,99.1596638655462,"posner"
"58",119,119,100,"posner"
"59",119,120,99.1666666666667,"posner"
"62",118,120,98.3333333333333,"posner"
"66",118,118,100,"posner"
"70",120,120,100,"posner"
"74",120,120,100,"posner"
"75",120,120,100,"posner"
"78",120,120,100,"posner"
"79",119,120,99.1666666666667,"posner"
"2",32,41,78.0487804878049,"rotation"
"3",47,72,65.2777777777778,"rotation"
"4",64,69,92.7536231884058,"rotation"
"5",41,67,61.1940298507463,"rotation"
"6",54,65,83.0769230769231,"rotation"
"7",56,71,78.8732394366197,"rotation"
"8",59,66,89.3939393939394,"rotation"
"9",66,72,91.6666666666667,"rotation"
"10",66,68,97.0588235294118,"rotation"
"11",53,70,75.7142857142857,"rotation"
"13",56,66,84.8484848484848,"rotation"
"14",50,56,89.2857142857143,"rotation"
"15",12,22,54.5454545454545,"rotation"
"16",67,72,93.0555555555556,"rotation"
"17",61,63,96.8253968253968,"rotation"
"18",62,71,87.3239436619718,"rotation"
"19",43,67,64.1791044776119,"rotation"
"20",55,71,77.4647887323944,"rotation"
"21",34,41,82.9268292682927,"rotation"
"23",57,71,80.2816901408451,"rotation"
"24",41,55,74.5454545454545,"rotation"
"25",61,67,91.044776119403,"rotation"
"26",55,63,87.3015873015873,"rotation"
"28",20,23,86.9565217391304,"rotation"
"29",50,70,71.4285714285714,"rotation"
"30",16,22,72.7272727272727,"rotation"
"31",54,69,78.2608695652174,"rotation"
"32",47,59,79.6610169491525,"rotation"
"33",62,69,89.8550724637681,"rotation"
"34",59,70,84.2857142857143,"rotation"
"35",60,70,85.7142857142857,"rotation"
"36",69,71,97.1830985915493,"rotation"
"37",60,67,89.5522388059701,"rotation"
"38",62,69,89.8550724637681,"rotation"
"39",55,63,87.3015873015873,"rotation"
"40",65,71,91.5492957746479,"rotation"
"41",58,64,90.625,"rotation"
"43",51,71,71.830985915493,"rotation"
"44",46,65,70.7692307692308,"rotation"
"46",63,71,88.7323943661972,"rotation"
"47",17,23,73.9130434782609,"rotation"
"50",56,67,83.5820895522388,"rotation"
"51",59,68,86.7647058823529,"rotation"
"52",62,69,89.8550724637681,"rotation"
"53",57,70,81.4285714285714,"rotation"
"55",58,67,86.5671641791045,"rotation"
"56",43,71,60.5633802816901,"rotation"
"57",41,68,60.2941176470588,"rotation"
"58",49,66,74.2424242424242,"rotation"
"59",63,67,94.0298507462687,"rotation"
"60",57,67,85.0746268656716,"rotation"
"61",59,62,95.1612903225806,"rotation"
"62",64,70,91.4285714285714,"rotation"
