src_subject_id,session_id,run_id,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event02_filename,event02_filetype,event02_story_onset,event03_question_onset,event04_response_onset,event04_response_key,event04_response_keyname,event04_RT,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation_onset,RAW_e1_fixation_onset_biopac,RAW_e2_story_onset,RAW_e2_story_onset_biopac,RAW_e3_question_onset,RAW_e3_question_onset_biopac,RAW_e4_response_onset,RAW_param_final_fixation,RAW_param_end_instruct_onset,answer,accuracy
9,4,1,1616603040.13529,1616603040.145,0.0602528953552244,11.9940526485443,3b_story.txt,false_belief,12.0543055438995,23.0250635051727,27.0692520046234,1,left,4.04418849945068,593.354418268204,596.114418268204,1616603042.95554,1616603054.91692,1616603054.9496,1616603054.95112,1616603065.92035,1616603065.92516,1616603069.96454,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,29.5506949329376,11.9979426860809,3p_story.txt,false_photo,41.5486376190186,52.5360679531097,57.0323099994659,1,left,4.4962420463562,593.354418268204,596.114418268204,1616603072.44599,1616603084.42814,1616603084.44393,1616603084.45938,1616603095.43136,1616603095.44246,1616603099.9276,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,59.0596368217468,12.0000038146973,10p_story.txt,false_photo,71.0596406364441,82.0470735931396,86.0270719432831,2,right,3.97999835014343,593.354418268204,596.114418268204,1616603101.95493,1616603113.94169,1616603113.95493,1616603113.95898,1616603124.94236,1616603124.94339,1616603128.92236,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,88.5697538757324,12.0008935928345,10b_story.txt,false_belief,100.570647468567,111.558078756332,115.887174835205,1,left,4.32909607887268,593.354418268204,596.114418268204,1616603131.46504,1616603143.45001,1616603143.46594,1616603143.47598,1616603154.45337,1616603154.45871,1616603158.78247,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,118.087114801407,11.9945385456085,1p_story.txt,false_photo,130.081653347015,141.069083204269,145.244750967026,1,left,4.17566776275635,593.354418268204,596.114418268204,1616603160.98241,1616603172.96145,1616603172.97694,1616603172.99297,1616603183.96437,1616603183.97666,1616603188.14004,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,147.59901594162,11.9936428070068,1b_story.txt,false_belief,159.592658748627,170.596762886047,174.138515939713,2,right,3.54175305366516,593.354418268204,596.114418268204,1616603190.49431,1616603202.475,1616603202.48795,1616603202.49211,1616603213.49205,1616603213.49306,1616603217.03381,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,177.117884864807,12.0024516582489,7p_story.txt,false_photo,189.120336523056,200.107767810822,201.932938804626,2,right,1.82517099380493,593.354418268204,596.114418268204,1616603220.01318,1616603231.99979,1616603232.01563,1616603232.02568,1616603243.00306,1616603243.00876,1616603244.82823,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,206.631464948654,11.9998772144318,7b_story.txt,false_belief,218.631342163086,229.618772497177,235.664199819565,2,right,6.0454273223877,593.354418268204,596.114418268204,1616603249.52676,1616603261.5108,1616603261.52663,1616603261.52788,1616603272.51406,1616603272.52581,1616603278.55949,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,236.197476854324,12.0115630626678,5b_story.txt,false_belief,248.209039916992,259.196469535828,261.918246974945,1,left,2.72177743911743,593.354418268204,596.114418268204,1616603279.09277,1616603291.09191,1616603291.10433,1616603291.1088,1616603302.09176,1616603302.0933,1616603304.81354,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,265.717607965469,12.0024371147156,5p_story.txt,false_photo,277.720045080185,288.707475891113,291.760021915436,2,right,3.05254602432251,593.354418268204,596.114418268204,1616603308.6129,1616603320.59949,1616603320.61534,1616603320.6257,1616603331.60277,1616603331.6088,1616603334.65531,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,295.23099779129,12.0000512599945,4p_story.txt,false_photo,307.231049051285,318.218480577469,322.369212856293,2,right,4.15073227882385,593.354418268204,596.114418268204,1616603338.12629,1616603350.11032,1616603350.12634,1616603350.12769,1616603361.11377,1616603361.1254,1616603365.2645,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,324.751814832687,11.9902408123016,4b_story.txt,false_belief,336.742055644989,347.729485263824,350.955400934219,2,right,3.2259156703949,593.354418268204,596.114418268204,1616603367.64711,1616603379.62512,1616603379.63735,1616603379.64211,1616603390.62478,1616603390.64617,1616603393.85069,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,354.25105594635,12.0020051002502,9p_story.txt,false_photo,366.2530610466,377.240491380692,380.719546785355,2,right,3.47905540466309,593.354418268204,596.114418268204,1616603397.14635,1616603409.13248,1616603409.14835,1616603409.15911,1616603420.13578,1616603420.14257,1616603423.61484,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,383.766124954224,11.9979407787323,9b_story.txt,false_belief,395.764065732956,406.751496305466,410.39101981163,1,left,3.63952350616455,593.354418268204,596.114418268204,1616603426.66142,1616603438.64348,1616603438.65936,1616603438.66069,1616603449.64679,1616603449.65873,1616603453.28631,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,413.272696008682,12.0023741722107,8b_story.txt,false_belief,425.275070180893,436.262500753403,440.933624973297,2,right,4.67112421989441,593.354418268204,596.114418268204,1616603456.16799,1616603468.15886,1616603468.17036,1616603468.17571,1616603479.15779,1616603479.15864,1616603483.82892,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,442.784148921967,12.001927614212,8p_story.txt,false_photo,454.786076536179,465.773507585526,470.605803003311,1,left,4.83229541778564,593.354418268204,596.114418268204,1616603485.67944,1616603497.66573,1616603497.68137,1616603497.69245,1616603508.6688,1616603508.67569,1616603513.50109,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,472.29809378624,11.9989883899689,6p_story.txt,false_photo,484.297082176209,495.284513225555,499.689705839157,2,right,4.40519261360168,593.354418268204,596.114418268204,1616603515.19338,1616603527.17642,1616603527.19237,1616603527.1938,1616603538.1798,1616603538.19249,1616603542.585,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,501.806457986832,12.0183017253876,6b_story.txt,false_belief,513.824759712219,524.795517673492,528.696993818283,2,right,3.90147614479065,593.354418268204,596.114418268204,1616603544.70175,1616603556.69176,1616603556.72005,1616603556.72176,1616603567.69081,1616603567.69188,1616603571.59228,1616603633.23192,1616603636.24971,2,1
9,4,1,1616603040.13529,1616603040.145,531.316696872711,12.0023951530457,2p_story.txt,false_photo,543.319092025757,554.306522121429,559.453984012604,1,left,5.14746189117432,593.354418268204,596.114418268204,1616603574.21199,1616603586.19859,1616603586.21438,1616603586.21531,1616603597.20181,1616603597.20974,1616603602.34928,1616603633.23192,1616603636.24971,1,1
9,4,1,1616603040.13529,1616603040.145,560.832382907867,11.9977145195007,2b_story.txt,false_belief,572.830097427368,583.817528715134,586.601784934998,1,left,2.78425621986389,593.354418268204,596.114418268204,1616603603.72767,1616603615.70962,1616603615.72539,1616603615.72645,1616603626.71282,1616603626.72583,1616603629.49708,1616603633.23192,1616603636.24971,1,1
