onset	duration	trial_type	pmod_accuracy	image_fname
7.956650018692017	1.01705002784729	dummy		obj021bed.png
9.990740060806274	1.01705002784729	dummy		obj093egg.png
12.024840116500854	1.0170400142669678	dummy		obj155king.png
14.058930158615112	1.0170400142669678	study		obj065clown.png
16.09301996231079	1.0170400142669678	study		obj237radio.png
18.14377999305725	1.01705002784729	study		obj108flute.png
20.17788004875183	1.0170400142669678	study		obj005ant.png
22.21197009086609	1.0170400142669678	study		obj177map.png
24.246060132980347	1.01705002784729	study		obj325vest.png
26.280150175094604	1.017049789428711	study		obj144hose.png
28.314239978790283	1.0337200164794922	study		obj335wheelbarrow.png
30.365010023117065	1.0170400142669678	study		obj091duck.png
32.415770053863525	1.01705002784729	study		obj194nest.png
34.44986009597778	1.01705002784729	study		obj260scissors.png
36.500630140304565	1.0170400142669678	study		obj068cork.png
38.534719944000244	1.01705002784729	study		obj046camera.png
40.5688099861145	1.01705002784729	study		obj238rain.png
42.60290002822876	1.01705002784729	study		obj188mountain.png
44.63700008392334	1.0170400142669678	study		obj015bandaid.png
46.6710901260376	1.01705002784729	study		obj022bell.png
48.705180168151855	1.017049789428711	study		obj286stethoscope.png
50.739269971847534	1.01705002784729	study		obj342wing.png
52.77336001396179	1.01705002784729	study		obj337whip.png
54.80746006965637	1.0170400142669678	dummy		obj206panda.png
56.84155011177063	1.0170400142669678	dummy		obj267shower.png
58.87564015388489	1.017049789428711	dummy		obj310tractor.png
308.2686400413513	1.01705002784729	dummy		obj003alligator.png
310.3027400970459	1.0170400142669678	dummy		obj030bone.png
312.33683013916016	1.0170400142669678	dummy		obj114frog.png
314.37091994285583	1.01705002784729	study		obj218pig.png
316.4050099849701	1.01705002784729	study		obj235rabbit.png
318.43910002708435	1.01705002784729	study		obj139highchair.png
320.47320008277893	1.0170400142669678	study		obj120glasses.png
322.5072901248932	1.0170400142669678	study		obj047can.png
324.54138016700745	1.017049789428711	study		obj160ladder.png
326.5754699707031	1.01705002784729	study		obj094elephant.png
328.6095600128174	1.01705002784729	study		obj264shark.png
330.64366006851196	1.0170400142669678	study		obj317turtle.png
332.6777501106262	1.0170400142669678	study		obj292sword.png
334.7118401527405	1.017049789428711	study		obj084dolphin.png
336.74592995643616	1.01705002784729	study		obj200orange.png
338.7800199985504	1.01705002784729	study		obj025binoculars.png
340.8141100406647	1.01705002784729	study		obj176man.png
342.86488008499146	1.01705002784729	study		obj285squirrel.png
344.8989701271057	1.01705002784729	study		obj085donkey.png
346.9497401714325	1.0170397758483887	study		obj284spoon.png
349.0004999637604	1.01705002784729	study		obj196nose.png
351.05125999450684	1.01705002784729	study		obj006apple.png
353.0853600502014	1.0170400142669678	study		obj288strawberry.png
355.1194500923157	1.0170400142669678	dummy		obj225pizza.png
357.15354013442993	1.01705002784729	dummy		obj272skunk.png
359.1876299381256	1.01705002784729	dummy		obj309top.png
189.19090008735657	1.236219882965088	test	0	obj154key.png
191.7418601512909	0.8821799755096436	test	1	obj068cork.png
194.57625007629395	0.6270499229431152	test	1	obj342wing.png
197.61071014404297	0.7787699699401855	test	1	obj224pitchfork.png
200.47845005989075	0.7642099857330322	test	1	obj238rain.png
203.04607009887695	0.7691199779510498	test	1	obj052carrot.png
205.91381001472473	0.6660399436950684	test	1	obj046camera.png
208.64815998077393	0.9151601791381836	test	0	obj337whip.png
211.34916996955872	1.0323100090026855	test	1	obj199onion.png
214.20023012161255	0.5669898986816406	test	1	obj260scissors.png
217.10131001472473	0.6853799819946289	test	1	obj311train.png
219.71895003318787	0.7462999820709229	test	0	obj188mountain.png
222.55334997177124	0.9517800807952881	test	1	obj286stethoscope.png
225.10430002212524	0.7792699337005615	test	1	obj091duck.png
227.87199997901917	0.9363300800323486	test	0	obj009asparagus.png
230.83977007865906	0.7458899021148682	test	1	obj022bell.png
233.4240701198578	0.7352499961853027	test	1	obj100feather.png
236.42518997192383	0.8108901977539062	test	1	obj145house.png
238.99281001091003	1.1045701503753662	test	1	obj065clown.png
241.57711005210876	1.4695000648498535	test	1	obj102finger.png
244.34481000900269	0.9125101566314697	test	0	obj338whistle.png
247.09582996368408	0.7738699913024902	test	1	obj079desk.png
249.8968801498413	1.0505099296569824	test	0	obj244rock.png
252.89800000190735	0.9802701473236084	test	1	obj230priest.png
255.5489799976349	0.8803999423980713	test	1	obj312tree.png
258.33335995674133	0.7302300930023193	test	1	obj346yoyo.png
261.16775012016296	1.4298198223114014	test	0	obj108flute.png
263.7687201499939	0.7229998111724854	test	1	obj015bandaid.png
266.36968994140625	1.0798602104187012	test	1	obj293table.png
269.33746004104614	0.9150099754333496	test	1	obj325vest.png
271.988450050354	1.0189299583435059	test	1	obj340windmill.png
274.5227301120758	1.218639850616455	test	1	obj305toaster.png
277.4571499824524	1.0094001293182373	test	1	obj226plate.png
280.3749101161957	0.8243298530578613	test	1	obj237radio.png
283.1926300525665	0.8176600933074951	test	1	obj335wheelbarrow.png
285.8602900505066	0.8870100975036621	test	0	obj005ant.png
288.54462003707886	1.5147099494934082	test	0	obj144hose.png
291.47905015945435	1.0993499755859375	test	1	obj177map.png
294.44682002067566	0.8281700611114502	test	0	obj282spatula.png
297.1144800186157	1.0256900787353516	test	0	obj194nest.png
489.2694799900055	0.7140700817108154	test	0	obj143horse.png
491.95380997657776	0.8921501636505127	test	1	obj292sword.png
494.9716000556946	0.8099400997161865	test	1	obj263seahorse.png
497.58925008773804	0.8780200481414795	test	1	obj077deer.png
500.2235600948334	0.8630399703979492	test	1	obj109fly.png
