src_subject_id,session_id,run_id,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event02_filename,event02_filetype,event02_story_onset,event03_question_onset,event04_response_onset,event04_response_key,event04_response_keyname,event04_RT,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation_onset,RAW_e1_fixation_onset_biopac,RAW_e2_story_onset,RAW_e2_story_onset_biopac,RAW_e3_question_onset,RAW_e3_question_onset_biopac,RAW_e4_response_onset,RAW_param_final_fixation,RAW_param_end_instruct_onset,answer,accuracy
104,4,1,1645459332.92762,1645459332.93891,0.0603449249267576,12.0054519176483,3b_story.txt,false_belief,12.0657968425751,23.0365543270111,27.7603239917755,1,left,4.7237696647644,593.299218645096,596.059218645096,1645459335.74796,1645459347.72077,1645459347.75341,1645459347.76199,1645459358.72417,1645459358.72858,1645459363.44794,1645459925.96904,1645459928.98684,1,1
104,4,1,1645459332.92762,1645459332.93891,29.560286989212,11.999843120575,3p_story.txt,false_photo,41.560130109787,52.5475602054596,56.0022759342194,1,left,3.45471572875977,593.299218645096,596.059218645096,1645459365.24791,1645459377.23182,1645459377.24775,1645459377.26153,1645459388.23518,1645459388.24461,1645459391.68989,1645459925.96904,1645459928.98684,1,1
104,4,1,1645459332.92762,1645459332.93891,59.0763389968872,11.9947953224182,10p_story.txt,false_photo,71.0711343193054,82.0585656070709,87.9885320568085,2,right,5.92996644973755,593.299218645096,596.059218645096,1645459394.76396,1645459406.74435,1645459406.75875,1645459406.76152,1645459417.74618,1645459417.7621,1645459423.67615,1645459925.96904,1645459928.98684,2,1
104,4,1,1645459332.92762,1645459332.93891,88.5812749767303,12.0175375938416,10b_story.txt,false_belief,100.598812570572,111.569570531845,113.992228975296,1,left,2.42265844345093,593.299218645096,596.059218645096,1645459424.26889,1645459436.26111,1645459436.28643,1645459436.28802,1645459447.25719,1645459447.26181,1645459449.67985,1645459925.96904,1645459928.98684,1,1
104,4,1,1645459332.92762,1645459332.93891,118.098674049377,12.01114320755,1p_story.txt,false_photo,130.109817256927,141.097248306274,146.991692056656,2,right,5.89444375038147,593.299218645096,596.059218645096,1645459453.78629,1645459465.7817,1645459465.79744,1645459465.81228,1645459476.78487,1645459476.78767,1645459482.67931,1645459925.96904,1645459928.98684,1,0
104,4,1,1645459332.92762,1645459332.93891,147.625845899582,11.9949769973755,1b_story.txt,false_belief,159.620822896957,170.608253231049,173.96846198082,2,right,3.36020874977112,593.299218645096,596.059218645096,1645459483.31346,1645459495.29417,1645459495.30844,1645459495.3137,1645459506.29587,1645459506.31183,1645459509.65608,1645459925.96904,1645459928.98684,2,1
104,4,1,1645459332.92762,1645459332.93891,177.128925075531,12.0195770263672,7p_story.txt,false_photo,189.148502101898,200.119259586334,202.197921981812,2,right,2.07866239547729,593.299218645096,596.059218645096,1645459512.81654,1645459524.81078,1645459524.83612,1645459524.83773,1645459535.80688,1645459535.81099,1645459537.88554,1645459925.96904,1645459928.98684,2,1
104,4,1,1645459332.92762,1645459332.93891,206.641226043701,12.0016069412231,7b_story.txt,false_belief,218.642832984924,229.63026427269,233.627964963913,2,right,3.99770069122314,593.299218645096,596.059218645096,1645459542.32884,1645459554.31456,1645459554.33045,1645459554.33168,1645459565.31788,1645459565.32868,1645459569.31558,1645459925.96904,1645459928.98684,2,1
104,4,1,1645459332.92762,1645459332.93891,236.151455869675,12.0023834705353,5b_story.txt,false_belief,248.15383934021,259.141270151138,263.12565993309,1,left,3.9843897819519,593.299218645096,596.059218645096,1645459571.83907,1645459583.82767,1645459583.84146,1645459583.8447,1645459594.82889,1645459594.82975,1645459598.81328,1645459925.96904,1645459928.98684,1,1
104,4,1,1645459332.92762,1645459332.93891,265.662900915146,12.0019438266754,5p_story.txt,false_photo,277.664844741821,288.652275075912,291.531682958603,2,right,2.87940788269043,593.299218645096,596.059218645096,1645459601.35052,1645459613.3367,1645459613.35246,1645459613.36168,1645459624.33989,1645459624.34453,1645459627.2193,1645459925.96904,1645459928.98684,2,1
