param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1646964083.59931,1646964088.61785,1646964091.62151,3.00366139411926,5,1646964091.63564,1646964111.67644,NaN,NaN,NaN,1,1646964200.95974,2.64898824691772,0,1646964203.61512,120.015814781189
4,1646964083.59931,1646964116.69498,1646964119.69752,3.0025360584259,5,1646964119.71277,1646964139.73691,NaN,NaN,NaN,2,1646964200.95974,2.64898824691772,0,1646964203.61512,120.015814781189
4,1646964083.59931,1646964144.75545,1646964147.75659,3.00113821029663,5,1646964147.77324,1646964167.79737,NaN,NaN,NaN,1,1646964200.95974,2.64898824691772,0,1646964203.61512,120.015814781189
4,1646964083.59931,1646964172.81591,1646964175.8176,3.00168633460999,5,1646964175.8337,1646964195.85784,1,4.5532238483429,left,2,1646964200.95974,2.64898824691772,0,1646964203.61512,120.015814781189
