src_subject_id,session_id,run_id,param_counterbalance_ver,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event01_blockquestion_onset,event01_block_isi_blacksreen,event01_blockquestion_dur,event02_image_onset,event02_image_dur,event03_response_onset,event03_response_key,event03_response_keyname,event03_RT,event04_shortquestion_onset,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation,RAW_e1_fixation_biopac,RAW_e1_blockquestion_onset,RAW_e1_blockquestion_onset_biopac,RAW_e1_block_isi_blacksreen,RAW_e2_image_onset,RAW_e2_image_onset_biopac,RAW_e3_response_onset,RAW_e4_shortquestion_onset,RAW_param_end_instruct_onset,accuracy
69,4,2,1,1,1,4,c4_HowHand,1,reaching?,106,H_006.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,2.03410077095032,2.26247333526611,1.26714587211609,3.54266618728638,1,left,1.2413489818573,3.5296192073822,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829776.8127,1631829776.81501,1631829778.09289,1631829778.07984,1631830379.02359,1
69,4,2,1,1,2,4,c4_HowHand,2,reaching?,105,H_438.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,3.84640430450439,0.683591842651367,4.53268097877502,1,left,0.662090063095093,4.52999614715576,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829778.39663,1631829778.39895,1631829779.0829,1631829779.08022,1631830379.02359,0
69,4,2,1,1,3,4,c4_HowHand,1,reaching?,111,H_003.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,4.84678267478943,0.950357675552368,5.80864714622498,1,left,0.934776067733765,5.7971403503418,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829779.397,1631829779.39949,1631829780.35887,1631829780.34736,1631830379.02359,1
69,4,2,1,1,4,4,c4_HowHand,1,reaching?,109,H_474.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,6.11392663955688,0.800303220748901,6.9252970123291,1,left,0.787713050842285,6.91422986030579,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829780.66415,1631829780.66655,1631829781.47552,1631829781.46445,1631830379.02359,1
69,4,2,1,1,5,4,c4_HowHand,2,reaching?,108,H_532.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,7.23101543426514,0.967031955718994,8.20273899078369,3,right,0.935937881469727,8.19804738998413,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829781.78124,1631829781.78506,1631829782.75296,1631829782.74827,1631830379.02359,0
69,4,2,1,1,6,4,c4_HowHand,1,reaching?,110,H_364.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,8.51483344078064,0.766954660415649,9.28445099830627,1,left,0.746723175048828,9.28178810119629,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829783.06506,1631829783.06726,1631829783.83467,1631829783.83201,1631830379.02359,1
69,4,2,1,1,7,4,c4_HowHand,1,reaching?,107,H_007.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,9.59857558250427,0.633572578430176,10.2344181442261,1,left,0.610522031784058,10.2321481609344,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829784.1488,1631829784.1508,1631829784.78464,1631829784.78237,1631830379.02359,1
69,4,2,1,1,8,4,c4_HowHand,2,reaching?,112,H_132.jpg,1631829771.79022,1631829771.79312,0.0282959842681882,0.0359811782836914,0.0783157253265379,2.11241649627686,0.3,10.548934211731,0.833648920059204,11.3850841426849,3,right,0.810791969299316,11.3825831317902,604.473372211456,607.233372211456,1631829774.57852,1631829774.58514,1631829774.62854,1631829774.63145,1631829776.66264,1631829785.09916,1631829785.10152,1631829785.93531,1631829785.93281,1631830379.02359,0
69,4,2,1,2,1,2,c2_WhyHand,1,healthy?,18,H_438.jpg,1631829771.79022,1631829771.79312,11.5493116283417,7.41592240333557,18.9687795543671,21.0695726776123,2.10079312324524,21.2196297550201,1.00037693977356,22.2251629734039,1,left,0.978188991546631,22.2200066947937,604.473372211456,607.233372211456,1631829786.09953,1631829786.10867,1631829793.519,1631829793.52516,1631829795.61979,1631829795.76985,1631829795.77465,1631829796.77538,1631829796.77023,1631830379.02359,1
69,4,2,1,2,2,2,c2_WhyHand,2,healthy?,20,H_007.jpg,1631829771.79022,1631829771.79312,11.5493116283417,7.41592240333557,18.9687795543671,21.0695726776123,0.3,22.5367929840088,1.4338743686676,23.9734289550781,3,right,1.40550684928894,23.9706673526764,604.473372211456,607.233372211456,1631829786.09953,1631829786.10867,1631829793.519,1631829793.52516,1631829795.61979,1631829797.08701,1631829797.09127,1631829798.52365,1631829798.52089,1631830379.02359,0
