param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1654553721.33712,1654553726.35566,1654553729.36271,3.00704479217529,5,1654553729.4068,1654553749.43093,2,4.98800826072693,right,2,1654553839.18107,2.17236185073853,0,1654553841.35699,120.019866228104
4,1654553721.33712,1654553754.98301,1654553757.99509,3.01207971572876,5,1654553758.01747,1654553778.0416,NaN,NaN,NaN,1,1654553839.18107,2.17236185073853,0,1654553841.35699,120.019866228104
4,1654553721.33712,1654553783.06014,1654553786.06135,3.00120401382446,5,1654553786.07793,1654553806.10207,NaN,NaN,NaN,2,1654553839.18107,2.17236185073853,0,1654553841.35699,120.019866228104
4,1654553721.33712,1654553811.12061,1654553814.1219,3.00129652023315,5,1654553814.1384,1654553834.16253,NaN,NaN,NaN,2,1654553839.18107,2.17236185073853,0,1654553841.35699,120.019866228104
