src_subject_id,param_session_id,run_num,param_counterbalance_ver,param_AR_invalid_sequence,param_valid_type,param_cue_location,param_target_location,param_trigger_onset,param_start_biopac,event01_param_jitter,event01_fixation_onset,event01_fixation_onset_biopac,event01_fixation_duration,event02_cue_type,event02_cue_onset,event02_cue_onset_biopac,event02_cue_duration,event03_target_type,event03_target_onset,event03_target_onset_biopac,event04_response_key,event04_response_keyname,event04_response_onset,event04_RT,event04_fixation_remainder_onset,event04_fixation_duration,event05_fixation_onset,event05_fixation_onset_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,RAW_event01_fixation_onset,RAW_event01_fixation_onset_biopac,RAW_event02_cue_onset,RAW_event02_cue_onset_biopac,RAW_event03_target_onset,RAW_event03_target_onset_biopac,RAW_event04_response_onset,RAW_event04_fixation_remainder_onset,RAW_event05_fixation_onset,RAW_event05_fixation_onset_biopac,RAW_param_end_instruct_onset,RAW_param_end_biopac,session_id,accuracy
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,0.5,5.56321406364441,5.57497096061707,0.501053094863892,right,6.08007788658142,6.08791208267212,0.184198141098022,left,6.29682636260986,6.29883909225464,1,left,6.6725971698761,0.375770807266235,7.19716763496399,1.12422919273376,8.31425762176514,8.31495213508606,596.136393299103,596.138869991302,598.896393299103,1614180539.8064,1614180539.81815,1614180540.32326,1614180540.33109,1614180540.54001,1614180540.54202,1614180540.91578,1614180541.44035,1614180542.55744,1614180542.55813,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,0.7,8.664391040802,8.67154812812805,0.701046943664551,left,9.3813316822052,9.39180397987366,0.183554410934448,left,9.58140635490417,9.58278703689575,1,left,9.92960810661316,0.348201751708984,10.4484031200409,1.15179824829102,11.5988392829895,11.6001420021057,596.136393299103,596.138869991302,598.896393299103,1614180542.90757,1614180542.91473,1614180543.62451,1614180543.63499,1614180543.82459,1614180543.82597,1614180544.17279,1614180544.69159,1614180545.84202,1614180545.84332,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,5.1,11.8489322662354,11.8544080257416,5.10063481330872,left,16.9675447940826,16.9713661670685,0.18169116973877,left,17.1676204204559,17.17143201828,1,left,17.5411641597748,0.373543739318848,18.0512890815735,1.12645626068115,19.1850533485413,19.1879091262817,596.136393299103,596.138869991302,598.896393299103,1614180546.09211,1614180546.09759,1614180551.21073,1614180551.21455,1614180551.4108,1614180551.41461,1614180551.78435,1614180552.29447,1614180553.42824,1614180553.43109,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,0.8,19.4184753894806,19.4206449985504,0.800558567047119,left,20.235452413559,20.2381770610809,0.183282613754272,left,20.4355285167694,20.4382181167603,1,left,20.7596280574799,0.324099540710449,21.2691774368286,1.17590045928955,22.452960729599,22.4541490077972,596.136393299103,596.138869991302,598.896393299103,1614180553.66166,1614180553.66383,1614180554.47863,1614180554.48136,1614180554.67871,1614180554.6814,1614180555.00281,1614180555.51236,1614180556.69614,1614180556.69733,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,3.6,22.6863820552826,22.6894481182098,3.60118389129639,right,26.3044233322144,26.305104970932,0.182267665863037,left,26.5044994354248,26.5060610771179,2,right,26.6276459693909,0.123146533966064,27.1380732059479,1.37685346603394,28.5219321250916,28.5252301692963,596.136393299103,596.138869991302,598.896393299103,1614180556.92956,1614180556.93263,1614180560.54761,1614180560.54829,1614180560.74768,1614180560.74924,1614180560.87083,1614180561.38126,1614180562.76511,1614180562.76841,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,5,28.7720260620117,28.7735300064087,5.00046706199646,left,33.7905991077423,33.7916669845581,0.181658983230591,right,33.9906754493713,33.9919440746307,NaN,NaN,NaN,NaN,NaN,NaN,36.0081086158752,36.0097780227661,596.136393299103,596.138869991302,598.896393299103,1614180563.01521,1614180563.01671,1614180568.03378,1614180568.03485,1614180568.23386,1614180568.23513,NaN,NaN,1614180570.25129,1614180570.25296,1614181135.89958,1614181135.90205,4,0
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,1.2,36.241530418396,36.2426099777222,1.20040655136108,left,37.4586596488953,37.4611310958862,0.18376350402832,left,37.65873503685,37.6599309444427,NaN,NaN,NaN,NaN,NaN,NaN,39.6761674880981,39.6782290935516,596.136393299103,596.138869991302,598.896393299103,1614180570.48471,1614180570.48579,1614180571.70184,1614180571.70431,1614180571.90192,1614180571.90311,NaN,NaN,1614180573.91935,1614180573.92141,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,0.9,39.9095902442932,39.9105861186981,0.900423765182495,left,40.8266043663025,40.8282301425934,0.183139801025391,right,41.0266804695129,41.0279860496521,NaN,NaN,NaN,NaN,NaN,NaN,43.0441133975983,43.0448260307312,596.136393299103,596.138869991302,598.896393299103,1614180574.15277,1614180574.15377,1614180575.06979,1614180575.07141,1614180575.26986,1614180575.27117,NaN,NaN,1614180577.2873,1614180577.28801,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,6.1,43.277535200119,43.2785739898682,6.10049390792847,left,49.3965246677399,49.3981151580811,0.1811203956604,right,49.5966012477875,49.598160982132,NaN,NaN,NaN,NaN,NaN,NaN,51.6140344142914,51.615040063858,596.136393299103,596.138869991302,598.896393299103,1614180577.52072,1614180577.52176,1614180583.63971,1614180583.6413,1614180583.83978,1614180583.84134,NaN,NaN,1614180585.85722,1614180585.85822,1614181135.89958,1614181135.90205,4,0
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,0.7,51.8474569320679,51.8483800888062,0.70072603225708,right,52.5643949508667,52.5717239379883,0.183373212814331,right,52.7644712924957,52.7658159732819,2,right,53.0704720020294,0.306000709533691,53.5814476013184,1.19399929046631,54.7819039821625,54.7827100753784,596.136393299103,596.138869991302,598.896393299103,1614180586.09064,1614180586.09156,1614180586.80758,1614180586.81491,1614180587.00765,1614180587.009,1614180587.31365,1614180587.82463,1614180589.02509,1614180589.02589,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,5,55.0153260231018,55.0164711475372,5.00045013427734,right,60.0338985919952,60.0382521152496,0.181705474853516,right,60.23397564888,60.2385921478271,2,right,60.5137770175934,0.279801368713379,61.0342788696289,1.22019863128662,62.2514073848724,62.2549569606781,596.136393299103,596.138869991302,598.896393299103,1614180589.25851,1614180589.25965,1614180594.27708,1614180594.28143,1614180594.47716,1614180594.48177,1614180594.75696,1614180595.27746,1614180596.49459,1614180596.49814,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,0.6,62.484828710556,62.485790014267,0.600418329238892,right,63.1017301082611,63.1050419807434,0.183958053588867,right,63.3018064498901,63.305319070816,2,right,63.5765960216522,0.274789571762085,64.0854375362396,1.22521042823792,65.3192393779755,65.3252630233765,596.136393299103,596.138869991302,598.896393299103,1614180596.72801,1614180596.72897,1614180597.34491,1614180597.34822,1614180597.54499,1614180597.5485,1614180597.81978,1614180598.32862,1614180599.56242,1614180599.56844,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,0.8,65.5526616573334,65.5546550750732,0.800395488739014,left,66.3696384429932,66.3714439868927,0.18314266204834,left,66.5697140693665,66.5719830989838,NaN,NaN,NaN,NaN,NaN,NaN,68.5871474742889,68.5878119468689,596.136393299103,596.138869991302,598.896393299103,1614180599.79584,1614180599.79784,1614180600.61282,1614180600.61463,1614180600.8129,1614180600.81517,NaN,NaN,1614180602.83033,1614180602.83099,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,0.6,68.8205690383911,68.8218631744385,0.600419998168945,left,69.4374701976776,69.4385070800781,0.183204889297485,right,69.6375465393066,69.6383559703827,2,right,70.0385429859161,0.400996446609497,70.5545611381531,1.0990035533905,71.6549797058105,71.6560790538788,596.136393299103,596.138869991302,598.896393299103,1614180603.06375,1614180603.06505,1614180603.68065,1614180603.68169,1614180603.88073,1614180603.88154,1614180604.28172,1614180604.79774,1614180605.89816,1614180605.89926,1614181135.89958,1614181135.90205,4,1
