src_subject_id,param_session_id,run_num,param_counterbalance_ver,param_AR_invalid_sequence,param_valid_type,param_cue_location,param_target_location,param_trigger_onset,param_start_biopac,event01_param_jitter,event01_fixation_onset,event01_fixation_onset_biopac,event01_fixation_duration,event02_cue_type,event02_cue_onset,event02_cue_onset_biopac,event02_cue_duration,event03_target_type,event03_target_onset,event03_target_onset_biopac,event04_response_key,event04_response_keyname,event04_response_onset,event04_RT,event04_fixation_remainder_onset,event04_fixation_duration,event05_fixation_onset,event05_fixation_onset_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,RAW_event01_fixation_onset,RAW_event01_fixation_onset_biopac,RAW_event02_cue_onset,RAW_event02_cue_onset_biopac,RAW_event03_target_onset,RAW_event03_target_onset_biopac,RAW_event04_response_onset,RAW_event04_fixation_remainder_onset,RAW_event05_fixation_onset,RAW_event05_fixation_onset_biopac,RAW_param_end_instruct_onset,RAW_param_end_biopac,accuracy
50,4,1,50,0,valid,left,left,1629737445.7058,1629737445.71801,0.6,5.55624103546143,5.56186103820801,0.607269048690796,left,6.18981003761292,6.19249415397644,0.169291019439697,left,6.4065580368042,6.41008400917053,1,left,6.85505700111389,0.448498964309692,7.37358403205872,1.05150103569031,8.42397689819336,8.42605900764465,596.37529419899,596.382973184586,599.13529419899,1629737448.50204,1629737448.50766,1629737449.13561,1629737449.1383,1629737449.35236,1629737449.35589,1629737449.80086,1629737450.31939,1629737451.36978,1629737451.37186,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,0.9,8.79078006744385,8.80293703079224,0.901601076126099,left,9.70778822898865,9.71938109397888,0.184565782546997,right,9.90786218643188,9.9103901386261,2,right,10.3150939941406,0.40723180770874,10.824871301651,1.09276819229126,11.9252829551697,11.9273669719696,596.37529419899,596.382973184586,599.13529419899,1629737451.73658,1629737451.74874,1629737452.65359,1629737452.66518,1629737452.85367,1629737452.85619,1629737453.2609,1629737453.77067,1629737454.87109,1629737454.87317,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,0.6,12.1920480728149,12.1951160430908,0.601573944091797,left,12.8089444637299,12.811408996582,0.184277534484863,right,13.0090200901031,13.0111730098724,2,right,13.4424631595612,0.433443069458008,13.9593744277954,1.06655693054199,15.0264384746552,15.0284960269928,596.37529419899,596.382973184586,599.13529419899,1629737455.13785,1629737455.14092,1629737455.75475,1629737455.75721,1629737455.95482,1629737455.95698,1629737456.38827,1629737456.90518,1629737457.97224,1629737457.9743,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,1.8,15.2765316963196,15.2866251468658,1.80180239677429,left,17.0938766002655,17.0962080955505,0.184023380279541,right,17.2939505577087,17.2963190078735,2,right,17.7388520240784,0.444901466369629,18.2609786987305,1.05509853363037,19.3113696575165,19.3193051815033,596.37529419899,596.382973184586,599.13529419899,1629737458.22233,1629737458.23243,1629737460.03968,1629737460.04201,1629737460.23975,1629737460.24212,1629737460.68465,1629737461.20678,1629737462.25717,1629737462.26511,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,5,19.5614633560181,19.5649871826172,5.0021448135376,left,24.5800015926361,24.5873551368713,0.183223485946655,right,24.7800753116608,24.7863340377808,2,right,25.2403020858765,0.460226774215698,25.7637763023376,1.0397732257843,26.7974956035614,26.803827047348,596.37529419899,596.382973184586,599.13529419899,1629737462.50727,1629737462.51079,1629737467.5258,1629737467.53316,1629737467.72588,1629737467.73214,1629737468.18611,1629737468.70958,1629737469.7433,1629737469.74963,1629738044.8411,1629738044.84878,1
50,4,1,50,0,valid,left,left,1629737445.7058,1629737445.71801,1.6,27.0976059436798,27.0994830131531,1.60123109817505,left,28.7148764133453,28.7193620204926,0.183751583099365,left,28.9149515628815,28.9194490909576,1,left,29.4129161834717,0.49796462059021,29.9319975376129,1.00203537940979,30.9323704242706,30.9360740184784,596.37529419899,596.382973184586,599.13529419899,1629737470.04341,1629737470.04529,1629737471.66068,1629737471.66516,1629737471.86075,1629737471.86525,1629737472.35872,1629737472.8778,1629737473.87817,1629737473.88188,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,right,left,1629737445.7058,1629737445.71801,0.6,31.1657907962799,31.1692111492157,0.601291179656982,right,31.7826874256134,31.7862560749054,0.18429970741272,left,31.9827618598938,31.986034154892,1,left,32.4455111026764,0.462749242782593,32.9664621353149,1.03725075721741,34.0001802444458,34.0032360553741,596.37529419899,596.382973184586,599.13529419899,1629737474.11159,1629737474.11501,1629737474.72849,1629737474.73206,1629737474.92856,1629737474.93184,1629737475.39131,1629737475.91227,1629737476.94598,1629737476.94904,1629738044.8411,1629738044.84878,1
50,4,1,50,0,valid,left,left,1629737445.7058,1629737445.71801,2.8,34.2336020469666,34.2359461784363,2.80136704444885,left,37.0513181686401,37.053554058075,0.183310985565186,left,37.2513933181763,37.2540950775146,1,left,37.6492750644684,0.397881746292114,38.1684021949768,1.10211825370789,39.2688121795654,39.271005153656,596.37529419899,596.382973184586,599.13529419899,1629737477.1794,1629737477.18175,1629737479.99712,1629737479.99936,1629737480.1972,1629737480.1999,1629737480.59508,1629737481.11421,1629737482.21462,1629737482.21681,1629738044.8411,1629738044.84878,1
50,4,1,50,0,valid,left,left,1629737445.7058,1629737445.71801,2,39.5022325515747,39.5043041706085,2.00125646591187,left,41.519651889801,41.5217139720917,0.183611154556274,left,41.7197270393372,41.7231111526489,1,left,42.0985980033875,0.378870964050293,42.6200625896454,1.12112903594971,43.7371454238892,43.7389340400696,596.37529419899,596.382973184586,599.13529419899,1629737482.44804,1629737482.45011,1629737484.46545,1629737484.46752,1629737484.66553,1629737484.66891,1629737485.0444,1629737485.56587,1629737486.68295,1629737486.68474,1629738044.8411,1629738044.84878,1
50,4,1,50,0,valid,right,right,1629737445.7058,1629737445.71801,0.8,43.9705655574799,43.9727830886841,0.80129861831665,right,44.7875370979309,44.7903451919556,0.184206962585449,right,44.9876112937927,44.9902081489563,2,right,45.4277391433716,0.440127849578857,45.9546384811401,1.05987215042114,47.005030632019,47.0070471763611,596.37529419899,596.382973184586,599.13529419899,1629737486.91637,1629737486.91859,1629737487.73334,1629737487.73615,1629737487.93341,1629737487.93601,1629737488.37354,1629737488.90044,1629737489.95083,1629737489.95285,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,3.9,47.2384519577026,47.2406151294708,3.90129613876343,left,51.156578540802,51.1588730812073,0.182838439941406,right,51.356653213501,51.3590950965881,2,right,51.7805471420288,0.423893928527832,52.2903344631195,1.07610607147217,53.3740727901459,53.3761081695557,596.37529419899,596.382973184586,599.13529419899,1629737490.18425,1629737490.18642,1629737494.10238,1629737494.10468,1629737494.30246,1629737494.3049,1629737494.72635,1629737495.23614,1629737496.31988,1629737496.32191,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,0.8,53.6074922084808,53.6102530956268,0.801484823226929,left,54.4244649410248,54.4264190196991,0.184053182601929,right,54.6245386600494,54.62672996521,2,right,55.1141111850739,0.489572525024414,55.6249117851257,1.01042747497559,56.6419570446014,56.6441240310669,596.37529419899,596.382973184586,599.13529419899,1629737496.5533,1629737496.55606,1629737497.37027,1629737497.37222,1629737497.57034,1629737497.57253,1629737498.05991,1629737498.57071,1629737499.58776,1629737499.58993,1629738044.8411,1629738044.84878,1
50,4,1,50,0,valid,right,right,1629737445.7058,1629737445.71801,1.4,56.8753786087036,56.8862609863281,1.40162253379822,right,58.2925741672516,58.2949321269989,0.184271812438965,right,58.492648601532,58.4947521686554,2,right,58.8931269645691,0.400478363037109,59.4096562862396,1.09952163696289,60.5100674629211,60.5122129917145,596.37529419899,596.382973184586,599.13529419899,1629737499.82118,1629737499.83206,1629737501.23838,1629737501.24074,1629737501.43845,1629737501.44056,1629737501.83893,1629737502.35546,1629737503.45587,1629737503.45802,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,left,right,1629737445.7058,1629737445.71801,0.6,60.7434878349304,60.7531490325928,0.601314306259155,left,61.3603839874268,61.3628261089325,0.184133052825928,right,61.5604581832886,61.5628490447998,2,right,61.9890410900116,0.428582906723022,62.4941394329071,1.07141709327698,63.5778779983521,63.5800189971924,596.37529419899,596.382973184586,599.13529419899,1629737503.68929,1629737503.69895,1629737504.30619,1629737504.30863,1629737504.50626,1629737504.50865,1629737504.93484,1629737505.43994,1629737506.52368,1629737506.52582,1629738044.8411,1629738044.84878,1
50,4,1,50,1,invalid,right,left,1629737445.7058,1629737445.71801,0.5,63.8112986087799,63.8194661140442,0.501251459121704,right,64.3281574249268,64.3364651203156,0.184310674667358,left,64.5282328128815,64.5303039550781,1,left,64.9094309806824,0.381198167800903,65.428567647934,1.1188018321991,66.5456514358521,66.5528631210327,596.37529419899,596.382973184586,599.13529419899,1629737506.7571,1629737506.76527,1629737507.27396,1629737507.28227,1629737507.47404,1629737507.47611,1629737507.85523,1629737508.37437,1629737509.49145,1629737509.49867,1629738044.8411,1629738044.84878,1
