onset	duration	trial_type	pmod_accuracy
10.7161872386932	0.54186840057373	cue_valid	1
13.800671339035	0.621449661254883	cue_valid	1
16.9851925373077	0.717630338668823	cue_valid	1
31.2238354682922	0.626688671112061	cue_valid	1
36.3924295902252	0.47961397171020503	cue_valid	1
39.4602408409119	0.462045860290527	cue_valid	1
46.9296927452087	0.408573341369629	cue_valid	1
50.597727060318	0.6713830947875981	cue_valid	1
62.235401391983	0.634174299240112	cue_valid	1
68.4710595607758	0.602006387710571	cue_valid	1
71.5388693809509	0.6548313617706301	cue_valid	1
77.2076504230499	0.659249496459961	cue_valid	1
87.744913816452	0.577142906188965	cue_valid	1
95.1976919174194	0.612365913391113	cue_valid	1
98.5656151771545	0.550464582443237	cue_valid	1
101.733463525772	0.5185474872589111	cue_valid	1
104.801274299622	0.49115629196167	cue_valid	1
113.871323823929	0.562025022506714	cue_valid	1
147.383820295334	0.527213287353516	cue_valid	1
153.052601337433	0.527435493469238	cue_valid	1
164.690275192261	0.653803539276123	cue_valid	1
168.658421516418	0.594721746444702	cue_valid	1
174.827388763428	0.56687445640564	cue_valid	1
180.996355295181	0.5556902408599851	cue_valid	1
189.566218614578	0.5569884300231931	cue_valid	1
208.539960622787	0.560066652297974	cue_valid	1
217.976813316345	0.5757457733154301	cue_valid	1
225.012770652771	0.569805097579956	cue_valid	1
228.080581665039	0.5169264793396	cue_valid	1
232.148764610291	0.597326707839966	cue_valid	1
246.887594461441	0.6444639682769779	cue_valid	1
252.156225919724	0.610141229629517	cue_valid	1
261.793153524399	0.572088193893433	cue_valid	1
269.262605428696	0.6214372634887699	cue_valid	1
274.931385993958	0.570440006256104	cue_valid	1
281.667231082916	0.621411514282227	cue_valid	1
292.071111679077	0.6873402118682861	cue_valid	1
317.213820457458	0.550405931472778	cue_valid	1
331.419118404388	0.514176321029663	cue_valid	1
335.087152957916	0.5624243736267089	cue_valid	1
340.355784893036	0.564302396774292	cue_valid	1
383.538554668427	0.623819780349731	cue_valid	1
391.008006095886	0.571349334716797	cue_valid	1
