src_subject_id,session_id,run_id,param_counterbalance_ver,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event01_blockquestion_onset,event01_block_isi_blacksreen,event01_blockquestion_dur,event02_image_onset,event02_image_dur,event03_response_onset,event03_response_key,event03_response_keyname,event03_RT,event04_shortquestion_onset,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation,RAW_e1_fixation_biopac,RAW_e1_blockquestion_onset,RAW_e1_blockquestion_onset_biopac,RAW_e1_block_isi_blacksreen,RAW_e2_image_onset,RAW_e2_image_onset_biopac,RAW_e3_response_onset,RAW_e4_shortquestion_onset,RAW_param_end_instruct_onset,accuracy
109,4,1,3,1,1,4,c4_HowHand,1,reaching?,107,H_007.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,2.01741814613342,2.2635321521759,1.31715893745422,3.58666109085083,1,left,1.29316091537476,3.58069108963013,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940770.60538,1646940770.6105,1646940771.9285,1646940771.92253,1646941372.81329,1
109,4,1,3,1,2,4,c4_HowHand,2,reaching?,108,H_532.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,3.89747594833374,1.1004102230072,5.00196217536926,3,right,1.08789587020874,4.99788617134094,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940772.23932,1646940772.24453,1646940773.34381,1646940773.33973,1646941372.81329,0
109,4,1,3,1,3,4,c4_HowHand,1,reaching?,109,H_474.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,5.31467126846313,0.967027187347412,6.28650616645813,1,left,0.956552028656006,6.28169845581055,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940773.65651,1646940773.66102,1646940774.62835,1646940774.62354,1646941372.81329,1
109,4,1,3,1,4,4,c4_HowHand,2,reaching?,105,H_438.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,6.59848355293274,0.683587789535522,7.28593205451965,1,left,0.671654939651489,7.28207134246826,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940774.94033,1646940774.94453,1646940775.62777,1646940775.62391,1646941372.81329,0
109,4,1,3,1,5,4,c4_HowHand,1,reaching?,110,H_364.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,7.59885787010193,0.783624410629272,8.38593410491943,1,left,0.767698049545288,8.3824822807312,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940775.9407,1646940775.94564,1646940776.72778,1646940776.72433,1646941372.81329,1
109,4,1,3,1,6,4,c4_HowHand,1,reaching?,106,H_006.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,8.69926713943481,0.833644151687622,9.53517507553101,1,left,0.810479164123535,9.53291129112244,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940777.04111,1646940777.04416,1646940777.87702,1646940777.87475,1646941372.81329,1
109,4,1,3,1,7,4,c4_HowHand,1,reaching?,111,H_003.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,9.84969662666321,0.983700037002563,10.8351361656189,1,left,0.96095609664917,10.8333966636658,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940778.19154,1646940778.19414,1646940779.17698,1646940779.17524,1646941372.81329,1
109,4,1,3,1,8,4,c4_HowHand,2,reaching?,112,H_132.jpg,1646940765.58184,1646940765.59205,0.0460405254364011,0.0413875579833984,0.0960600280761716,2.11347817420959,0.3,11.1501812839508,0.816970586776733,11.9685861968994,3,right,0.809266090393066,11.9671518707275,604.471444358826,607.231444358826,1646940768.38788,1646940768.39641,1646940768.4379,1646940768.44446,1646940770.45532,1646940779.49202,1646940779.49414,1646940780.31043,1646940780.30899,1646941372.81329,0
109,4,1,3,2,1,2,c2_WhyHand,1,healthy?,21,H_627.jpg,1646940765.58184,1646940765.59205,12.1505544090271,5.38064074516296,17.5358950996399,19.6366791629791,2.10078406333923,19.7867350482941,1.21712064743042,21.0050640010834,1,left,1.19139289855957,21.0038556957245,604.471444358826,607.231444358826,1646940780.4924,1646940780.49499,1646940785.87774,1646940785.89508,1646940787.97852,1646940788.12858,1646940788.14486,1646940789.34691,1646940789.3457,1646941372.81329,1
109,4,1,3,2,2,2,c2_WhyHand,1,healthy?,18,H_438.jpg,1646940765.58184,1646940765.59205,12.1505544090271,5.38064074516296,17.5358950996399,19.6366791629791,0.3,21.3206407928467,1.33383059501648,22.6561560535431,1,left,1.3188579082489,22.6544713878632,604.471444358826,607.231444358826,1646940780.4924,1646940780.49499,1646940785.87774,1646940785.89508,1646940787.97852,1646940789.66248,1646940789.66426,1646940790.998,1646940790.99631,1646941372.81329,1
