param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1616612608.42188,1616612613.44041,1616612616.44397,3.0035605430603,5,1616612616.45821,1616612636.49901,NaN,NaN,NaN,1,1616612725.69895,2.7382984161377,0,1616612728.44021,120.018330574036
4,1616612608.42188,1616612641.51755,1616612644.5195,3.0019428730011,5,1616612644.53534,1616612664.55948,NaN,NaN,NaN,2,1616612725.69895,2.7382984161377,0,1616612728.44021,120.018330574036
4,1616612608.42188,1616612669.57802,1616612672.57909,3.00107336044312,5,1616612672.59581,1616612692.61994,NaN,NaN,NaN,1,1616612725.69895,2.7382984161377,0,1616612728.44021,120.018330574036
4,1616612608.42188,1616612697.63848,1616612700.63958,3.00110006332397,5,1616612700.65627,1616612720.68041,NaN,NaN,NaN,2,1616612725.69895,2.7382984161377,0,1616612728.44021,120.018330574036
