src_subject_id,session_id,run_num,param_experiment_start,param_memory_session_name,event01_fixation_onset,event01_fixation_duration,event02_image_onset,event02_image_filename,event02_dummy_stimuli_type,event03_isi_onset,param_end_instruct_onset,study_experiment_duration,RAW_param_experiment_start,RAW_param_start_biopac,RAW_event01_fixation_onset,RAW_event01_fixation_biopac,RAW_event02_image_onset,RAW_event02_image_biopac,RAW_event03_isi_onset,RAW_event03_isi_biopac,RAW_param_end_instruct_onset
126,4,1,0.201440801620483,study01,-1654040544.93222,0,5.2366516494751,obj032boot.png,0,6.27037071228027,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040550.16887,1654040550.17786,1654040551.20259,1654040551.21036,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,7.30408977508545,obj108flute.png,0,8.32113598823547,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040552.23631,1654040552.23864,1654040553.25336,1654040553.25743,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,9.35485362052918,obj118giraffe.png,0,10.3718998336792,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040554.28707,1654040554.29114,1654040555.30412,1654040555.30787,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,11.3889453315735,obj137helicopter.png,1,12.4059927368164,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040556.32116,1654040556.32454,1654040557.33821,1654040557.34079,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,13.4230382347107,obj109fly.png,1,14.440083732605,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040558.35526,1654040558.3576,1654040559.3723,1654040559.37415,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,15.4571292304993,obj087dragon.png,1,16.4741752052307,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040560.38935,1654040560.39064,1654040561.40639,1654040561.40807,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,17.4912218952179,obj266shovel.png,1,18.5249404811859,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040562.42344,1654040562.44217,1654040563.45716,1654040563.45859,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,19.5419866943359,obj151puzzle.png,1,20.5590331459045,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040564.47421,1654040564.4757,1654040565.49125,1654040565.49298,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,21.5760784053802,obj281spaghetti.png,1,22.5931243801117,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040566.5083,1654040566.50996,1654040567.52534,1654040567.52714,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,23.610169878006,obj197nurse.png,1,24.6272153759003,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040568.54239,1654040568.54405,1654040569.55943,1654040569.56075,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,25.6442613506317,obj219pillow.png,1,26.6613089942932,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040570.57648,1654040570.57774,1654040571.59353,1654040571.59494,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,27.6783537769318,obj018barrel.png,1,28.6953995132446,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040572.61057,1654040572.61192,1654040573.62762,1654040573.62892,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,29.7124457263947,obj076cup.png,1,30.7294917011261,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040574.64466,1654040574.64607,1654040575.66171,1654040575.66344,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,31.7465379142761,obj161lamp.png,1,32.7635834121704,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040576.67876,1654040576.6907,1654040577.6958,1654040577.70671,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,33.7973029518127,obj234queen.png,1,34.8143489265442,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040578.72952,1654040578.73135,1654040579.74657,1654040579.74835,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,35.8313951396942,obj160ladder.png,1,36.8484406375885,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040580.76361,1654040580.76526,1654040581.78066,1654040581.78222,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,37.8654868507385,obj173lock.png,1,38.8825323486328,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040582.79771,1654040582.79919,1654040583.81475,1654040583.8168,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,39.8995788002014,obj265shoe.png,1,40.9166245365143,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040584.8318,1654040584.8411,1654040585.84884,1654040585.8578,1654040605.15003
126,4,1,0.201440801620483,study01,-1654040544.93222,0,41.9503440761566,obj126gun.png,1,42.9673890972137,60.2178099060059,60.0163691043854,1654040545.13366,1654040545.14308,0,0,1654040586.88256,1654040586.88475,1654040587.89961,1654040587.90761,1654040605.15003
