src_subject_id,param_session_id,run_num,param_counterbalance_ver,param_AR_invalid_sequence,param_valid_type,param_cue_location,param_target_location,param_trigger_onset,param_start_biopac,event01_param_jitter,event01_fixation_onset,event01_fixation_onset_biopac,event01_fixation_duration,event02_cue_type,event02_cue_onset,event02_cue_onset_biopac,event02_cue_duration,event03_target_type,event03_target_onset,event03_target_onset_biopac,event04_response_key,event04_response_keyname,event04_response_onset,event04_RT,event04_fixation_remainder_onset,event04_fixation_duration,event05_fixation_onset,event05_fixation_onset_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,RAW_event01_fixation_onset,RAW_event01_fixation_onset_biopac,RAW_event02_cue_onset,RAW_event02_cue_onset_biopac,RAW_event03_target_onset,RAW_event03_target_onset_biopac,RAW_event04_response_onset,RAW_event04_fixation_remainder_onset,RAW_event05_fixation_onset,RAW_event05_fixation_onset_biopac,RAW_param_end_instruct_onset,RAW_param_end_biopac,accuracy
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,1.5,5.53370714187622,5.543701171875,1.50169682502747,right,7.05094003677368,7.05884218215942,0.185579061508179,left,7.26768708229065,7.26991319656372,NaN,NaN,NaN,NaN,NaN,NaN,9.28510618209839,9.28623509407043,597.203078737259,597.205782165527,599.963078737259,1645487635.50605,1645487635.51605,1645487637.02328,1645487637.03119,1645487637.24003,1645487637.24226,NaN,NaN,1645487639.25745,1645487639.25858,1645488232.69542,1645488232.69813,0
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,1,9.53519940376282,9.5425660610199,1.00146079063416,right,10.5522458553314,10.5591990947723,0.184093236923218,right,10.7523198127747,10.7595570087433,NaN,NaN,NaN,NaN,NaN,NaN,12.7697398662567,12.7715601921082,597.203078737259,597.205782165527,599.963078737259,1645487639.50754,1645487639.51491,1645487640.52459,1645487640.53154,1645487640.72466,1645487640.7319,NaN,NaN,1645487642.74208,1645487642.7439,1645488232.69542,1645488232.69813,0
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,0.6,13.0031592845917,13.0050389766693,0.601354837417603,right,13.6200556755066,13.6262340545654,0.184177398681641,left,13.8201313018799,13.8256599903107,1,left,14.4369699954987,0.616838693618774,14.9538865089417,0.883161306381226,15.8375496864319,15.8426949977875,597.203078737259,597.205782165527,599.963078737259,1645487642.9755,1645487642.97738,1645487643.5924,1645487643.59858,1645487643.79248,1645487643.798,1645487644.40931,1645487644.92623,1645487645.80989,1645487645.81504,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,0.7,16.0709693431854,16.0762281417847,0.701626777648926,right,16.7879030704498,16.7929060459137,0.184087038040161,right,16.9879784584045,16.9923939704895,2,right,17.6356160640717,0.647637605667114,18.1550805568695,0.852362394332886,19.005398273468,19.0094740390778,597.203078737259,597.205782165527,599.963078737259,1645487646.04331,1645487646.04857,1645487646.76025,1645487646.76525,1645487646.96032,1645487646.96474,1645487647.60796,1645487648.12742,1645487648.97774,1645487648.98182,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,0.8,19.2388179302216,19.2434360980988,0.801918029785156,left,20.0557897090912,20.0595760345459,0.184037446975708,right,20.2558643817902,20.2591841220856,2,right,20.8190591335297,0.563194751739502,21.3396012783051,0.936805248260498,22.2732820510864,22.275918006897,597.203078737259,597.205782165527,599.963078737259,1645487649.21116,1645487649.21578,1645487650.02813,1645487650.03192,1645487650.22821,1645487650.23153,1645487650.7914,1645487651.31195,1645487652.24563,1645487652.24826,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,1,22.5067036151886,22.5089631080627,1.00154948234558,right,23.5237493515015,23.5267159938812,0.184801816940308,right,23.7238235473633,23.7254440784454,2,right,24.315062046051,0.591238498687744,24.8242344856262,0.908761501312256,25.7412428855896,25.7427389621735,597.203078737259,597.205782165527,599.963078737259,1645487652.47905,1645487652.48131,1645487653.49609,1645487653.49906,1645487653.69617,1645487653.69779,1645487654.28741,1645487654.79658,1645487655.71359,1645487655.71508,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,5,25.9746639728546,25.9763779640198,5.00114321708679,left,30.9932019710541,30.9952220916748,0.182451009750366,left,31.1932752132416,31.1952359676361,1,left,31.6995391845703,0.506263971328735,32.2103214263916,0.993736028671265,33.2106952667236,33.2124090194702,597.203078737259,597.205782165527,599.963078737259,1645487655.94701,1645487655.94872,1645487660.96555,1645487660.96757,1645487661.16562,1645487661.16758,1645487661.67188,1645487662.18267,1645487663.18304,1645487663.18475,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,2.7,33.4441151618958,33.4457931518555,2.70151686668396,right,36.1617958545685,36.1635329723358,0.183282136917114,right,36.3618702888489,36.3767721652985,1,left,36.3818051815033,0.0199348926544189,36.8954026699066,1.48006510734558,38.3792889118195,38.3807389736176,597.203078737259,597.205782165527,599.963078737259,1645487663.41646,1645487663.41814,1645487666.13414,1645487666.13588,1645487666.33421,1645487666.34912,1645487666.35415,1645487666.86775,1645487668.35163,1645487668.35308,1645488232.69542,1645488232.69813,0
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,0.6,38.6127102375031,38.6143021583557,0.601146936416626,left,39.2296068668365,39.2313401699066,0.184096097946167,left,39.4296803474426,39.4315221309662,1,left,39.9224979877472,0.492817640304565,40.4300546646118,1.00718235969543,41.4471008777618,41.4489121437073,597.203078737259,597.205782165527,599.963078737259,1645487668.58505,1645487668.58665,1645487669.20195,1645487669.20368,1645487669.40202,1645487669.40387,1645487669.89484,1645487670.4024,1645487671.41944,1645487671.42126,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,5,41.680520772934,41.6820261478424,5.00141429901123,left,46.699059009552,46.7012100219727,0.182523965835571,right,46.8991317749023,46.9008769989014,2,right,47.3907589912415,0.491627216339111,47.8995063304901,1.00837278366089,48.9165532588959,48.9183709621429,597.203078737259,597.205782165527,599.963078737259,1645487671.65286,1645487671.65437,1645487676.6714,1645487676.67355,1645487676.87148,1645487676.87322,1645487677.3631,1645487677.87185,1645487678.8889,1645487678.89071,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,1.2,49.1499722003937,49.1519191265106,1.20114779472351,right,50.3670938014984,50.3689579963684,0.184228181838989,left,50.5671675205231,50.5762660503387,1,left,51.0388951301575,0.471727609634399,51.5508673191071,1.0282723903656,52.5845863819122,52.5922980308533,597.203078737259,597.205782165527,599.963078737259,1645487679.12232,1645487679.12426,1645487680.33944,1645487680.3413,1645487680.53951,1645487680.54861,1645487681.01124,1645487681.52321,1645487682.55693,1645487682.56464,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,1.7,52.8180079460144,52.8193211555481,1.70122218132019,left,54.5353138446808,54.5444719791412,0.184189319610596,right,54.7353889942169,54.7423160076141,2,right,55.2106740474701,0.475285053253174,55.7357621192932,1.02471494674683,56.7528078556061,56.7592041492462,597.203078737259,597.205782165527,599.963078737259,1645487682.79035,1645487682.79167,1645487684.50766,1645487684.51682,1645487684.70773,1645487684.71466,1645487685.18302,1645487685.70811,1645487686.72515,1645487686.73155,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,5,56.9862287044525,56.9882700443268,5.00120139122009,right,62.0047664642334,62.0092179775238,0.182363510131836,right,62.2048408985138,62.2093241214752,2,right,62.7235519886017,0.518711090087891,63.2385597229004,0.981288909912109,64.2222607135773,64.2256901264191,597.203078737259,597.205782165527,599.963078737259,1645487686.95857,1645487686.96061,1645487691.97711,1645487691.98156,1645487692.17718,1645487692.18167,1645487692.6959,1645487693.2109,1645487694.1946,1645487694.19803,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,0.6,64.4556798934937,64.4592261314392,0.601233243942261,right,65.0725767612457,65.0753650665283,0.183969259262085,left,65.2726516723633,65.2759051322937,1,left,65.7876300811768,0.514978408813477,66.3063712120056,0.985021591186523,67.2900702953339,67.2923519611359,597.203078737259,597.205782165527,599.963078737259,1645487694.42802,1645487694.43157,1645487695.04492,1645487695.04771,1645487695.245,1645487695.24825,1645487695.75997,1645487696.27872,1645487697.26241,1645487697.2647,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,0.7,67.5234909057617,67.5263330936432,0.701346158981323,left,68.240424156189,68.2426371574402,0.183984994888306,left,68.4404990673065,68.442449092865,1,left,69.0053341388702,0.564835071563721,69.5242371559143,0.935164928436279,70.4579184055328,70.4594609737396,597.203078737259,597.205782165527,599.963078737259,1645487697.49583,1645487697.49868,1645487698.21277,1645487698.21498,1645487698.41284,1645487698.41479,1645487698.97768,1645487699.49658,1645487700.43026,1645487700.4318,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,0.6,70.6913387775421,70.6927351951599,0.601221323013306,left,71.3082354068756,71.3096871376038,0.183983564376831,left,71.5083105564117,71.5103070735931,1,left,72.0007321834564,0.492421627044678,72.508683681488,1.00757837295532,73.5257294178009,73.5276701450348,597.203078737259,597.205782165527,599.963078737259,1645487700.66368,1645487700.66508,1645487701.28058,1645487701.28203,1645487701.48065,1645487701.48265,1645487701.97308,1645487702.48103,1645487703.49807,1645487703.50001,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,3.2,73.7591497898102,73.7608151435852,3.20130825042725,left,76.9770169258118,76.9787650108337,0.183091163635254,right,77.1770918369293,77.1789140701294,2,right,77.6626219749451,0.485530138015747,78.1774637699127,1.01446986198425,79.1945097446442,79.1964190006256,597.203078737259,597.205782165527,599.963078737259,1645487703.73149,1645487703.73316,1645487706.94936,1645487706.95111,1645487707.14944,1645487707.15126,1645487707.63497,1645487708.14981,1645487709.16685,1645487709.16876,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,0.6,79.427930355072,79.4298160076141,0.601166725158691,left,80.0448279380798,80.0466141700745,0.183988094329834,right,80.2449016571045,80.2467901706696,2,right,80.7449240684509,0.500022411346436,81.2619473934174,0.999977588653564,82.2623209953308,82.2645151615143,597.203078737259,597.205782165527,599.963078737259,1645487709.40027,1645487709.40216,1645487710.01717,1645487710.01896,1645487710.21725,1645487710.21913,1645487710.71727,1645487711.23429,1645487712.23466,1645487712.23686,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,5,82.4957416057587,82.4974579811096,5.00125956535339,right,87.5142793655396,87.5157701969147,0.182647705078125,left,87.7143542766571,87.7166521549225,1,left,88.1129009723663,0.398546695709229,88.6313626766205,1.10145330429077,89.7317724227905,89.7334771156311,597.203078737259,597.205782165527,599.963078737259,1645487712.46809,1645487712.4698,1645487717.48662,1645487717.48811,1645487717.6867,1645487717.689,1645487718.08524,1645487718.60371,1645487719.70412,1645487719.70582,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,5,89.9651935100555,89.9669950008392,5.00127649307251,right,94.9837322235107,94.9855291843414,0.18236780166626,left,95.1838068962097,95.1854860782623,1,left,95.5705990791321,0.386792182922363,96.0841419696808,1.11320781707764,97.2012250423431,97.2085239887238,597.203078737259,597.205782165527,599.963078737259,1645487719.93754,1645487719.93934,1645487724.95608,1645487724.95787,1645487725.15615,1645487725.15783,1645487725.54294,1645487726.05649,1645487727.17357,1645487727.18087,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,0.9,97.4346454143524,97.4362051486969,0.901215553283691,right,98.3516550064087,98.3592460155487,0.183910131454468,left,98.5517282485962,98.5535581111908,1,left,98.9586560726166,0.406927824020386,99.4687373638153,1.09307217597961,100.569148778915,100.57554602623,597.203078737259,597.205782165527,599.963078737259,1645487727.40699,1645487727.40855,1645487728.324,1645487728.33159,1645487728.52407,1645487728.5259,1645487728.931,1645487729.44108,1645487730.54149,1645487730.54789,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,0.7,100.802568674088,100.804331064224,0.701467514038086,right,101.519501686096,101.525684118271,0.183942317962646,right,101.719576358795,101.725584983826,2,right,102.264137983322,0.544561624526978,102.769968509674,0.955438375473022,103.736995697021,103.742527961731,597.203078737259,597.205782165527,599.963078737259,1645487730.77491,1645487730.77667,1645487731.49185,1645487731.49803,1645487731.69192,1645487731.69793,1645487732.23648,1645487732.74231,1645487733.70934,1645487733.71487,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,right,left,1645487632.73234,1645487632.73398,0.6,103.970416307449,103.972335100174,0.601259708404541,right,104.58731341362,104.592658996582,0.184074640274048,left,104.787387371063,104.792457103729,1,left,105.217764139175,0.430376768112183,105.737742185593,1.06962323188782,106.804806470871,106.809203147888,597.203078737259,597.205782165527,599.963078737259,1645487733.94276,1645487733.94468,1645487734.55966,1645487734.565,1645487734.75973,1645487734.7648,1645487735.19011,1645487735.71009,1645487736.77715,1645487736.78155,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,6.6,107.038227558136,107.039914131165,6.60124349594116,left,113.657362699509,113.659326076508,0.181896448135376,left,113.85743689537,113.859719991684,1,left,114.203308105469,0.345871210098267,114.707753419876,1.15412878990173,115.87485575676,115.876420974731,597.203078737259,597.205782165527,599.963078737259,1645487737.01057,1645487737.01226,1645487743.62971,1645487743.63167,1645487743.82978,1645487743.83206,1645487744.17565,1645487744.6801,1645487745.8472,1645487745.84876,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,2.3,116.108276128769,116.109863042831,2.30122089385986,left,118.425806760788,118.427702188492,0.183437347412109,left,118.625882148743,118.627746105194,1,left,119.016069173813,0.39018702507019,119.526217699051,1.10981297492981,120.643301010132,120.644824981689,597.203078737259,597.205782165527,599.963078737259,1645487746.08062,1645487746.08221,1645487748.39815,1645487748.40005,1645487748.59823,1645487748.60009,1645487748.98841,1645487749.49856,1645487750.61564,1645487750.61717,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,5,120.876721143723,120.87841796875,5.00120997428894,left,125.895260095596,125.897216081619,0.182444095611572,left,126.095333337784,126.097007989883,1,left,126.8553211689,0.759987831115723,127.362472295761,0.740012168884277,128.112752199173,128.114717006683,597.203078737259,597.205782165527,599.963078737259,1645487750.84907,1645487750.85076,1645487755.8676,1645487755.86956,1645487756.06768,1645487756.06935,1645487756.82767,1645487757.33482,1645487758.0851,1645487758.08706,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,3.5,128.346173286438,128.34801197052,3.50119090080261,left,131.864150762558,131.865673065186,0.182862281799316,left,132.064226865768,132.06579208374,1,left,132.353693962097,0.289467096328735,132.864524841309,1.21053290367126,134.081645727158,134.083469152451,597.203078737259,597.205782165527,599.963078737259,1645487758.31852,1645487758.32036,1645487761.83649,1645487761.83802,1645487762.03657,1645487762.03814,1645487762.32604,1645487762.83687,1645487764.05399,1645487764.05581,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,right,right,1645487632.73234,1645487632.73398,5,134.315065383911,134.316704034805,5.00119376182556,right,139.333604812622,139.335045099258,0.182363271713257,right,139.533678770065,139.535639047623,2,right,140.031481981277,0.497803211212158,140.550724983215,1.00219678878784,141.551096916199,141.559550046921,597.203078737259,597.205782165527,599.963078737259,1645487764.28741,1645487764.28905,1645487769.30595,1645487769.30739,1645487769.50602,1645487769.50798,1645487770.00383,1645487770.52307,1645487771.52344,1645487771.53189,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,1.5,141.784518003464,141.786017179489,1.50138306617737,left,143.301750183105,143.309341192245,0.183642864227295,left,143.501824855804,143.503659009933,1,left,143.83651804924,0.334693193435669,144.352139234543,1.16530680656433,145.519244909286,145.525705099106,597.203078737259,597.205782165527,599.963078737259,1645487771.75686,1645487771.75836,1645487773.27409,1645487773.28169,1645487773.47417,1645487773.476,1645487773.80886,1645487774.32448,1645487775.49159,1645487775.49805,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,1.4,145.752664804459,145.754489183426,1.40120220184326,left,147.169859170914,147.175709962845,0.183714866638184,right,147.369934797287,147.375838041306,2,right,148.011528015137,0.641593217849731,148.520363330841,0.858406782150269,149.387353420258,149.392606973648,597.203078737259,597.205782165527,599.963078737259,1645487775.72501,1645487775.72683,1645487777.1422,1645487777.14805,1645487777.34228,1645487777.34818,1645487777.98387,1645487778.49271,1645487779.3597,1645487779.36495,1645488232.69542,1645488232.69813,1
106,4,2,106,0,valid,left,left,1645487632.73234,1645487632.73398,3.2,149.620773553848,149.622413158417,3.20128440856934,left,152.838640213013,152.842643022537,0.18299674987793,left,153.038714885712,153.04266500473,1,left,153.641546964645,0.602832078933716,154.155798435211,0.897167921066284,155.056133508682,155.058855056763,597.203078737259,597.205782165527,599.963078737259,1645487779.59312,1645487779.59476,1645487782.81098,1645487782.81499,1645487783.01106,1645487783.01501,1645487783.61389,1645487784.12814,1645487785.02848,1645487785.0312,1645488232.69542,1645488232.69813,1
106,4,2,106,1,invalid,left,right,1645487632.73234,1645487632.73398,5,155.28955411911,155.292267084122,5.00113201141357,left,160.308092355728,160.309872150421,0.182479619979858,right,160.508167743683,160.509963989258,2,right,161.013631105423,0.505463361740112,161.525212526321,0.994536638259888,162.525587320328,162.527280092239,597.203078737259,597.205782165527,599.963078737259,1645487785.2619,1645487785.26461,1645487790.28044,1645487790.28222,1645487790.48051,1645487790.48231,1645487790.98598,1645487791.49756,1645487792.49793,1645487792.49962,1645488232.69542,1645488232.69813,1
