param_fmriSession,calc_start,p1_fixation_onset,p1_fixation_offset,p1_ptb_fixation_duration,p1_fixation_duration,p2_operation,p3_option,p4_responsekey,p4_responseRT,p4_responsekeyname,p4_correct_answer,p5_fixation_onset,p5_fixation_duration,calc_accuracy,calc_end,calc_duration
4,1654033834.16432,1654033839.18286,1654033842.19161,3.00874185562134,5,1654033842.21733,1654033862.24146,NaN,NaN,NaN,1,1654033951.44139,2.73968577384949,0,1654033954.18439,120.020065307617
4,1654033834.16432,1654033867.26,1654033870.26255,3.0025475025177,5,1654033870.27779,1654033890.30193,NaN,NaN,NaN,2,1654033951.44139,2.73968577384949,0,1654033954.18439,120.020065307617
4,1654033834.16432,1654033895.32046,1654033898.32353,3.00306344032288,5,1654033898.33826,1654033918.36239,NaN,NaN,NaN,1,1654033951.44139,2.73968577384949,0,1654033954.18439,120.020065307617
4,1654033834.16432,1654033923.38093,1654033926.38252,3.00159239768982,5,1654033926.39872,1654033946.42285,NaN,NaN,NaN,2,1654033951.44139,2.73968577384949,0,1654033954.18439,120.020065307617
