src_subject_id,session_id,run_id,param_trigger_onset,param_start_biopac,event01_fixation,event01_fixation_dur,event02_filename,event02_filetype,event02_story_onset,event03_question_onset,event04_response_onset,event04_response_key,event04_response_keyname,event04_RT,param_end_instruct_onset,param_experiment_duration,RAW_e1_fixation_onset,RAW_e1_fixation_onset_biopac,RAW_e2_story_onset,RAW_e2_story_onset_biopac,RAW_e3_question_onset,RAW_e3_question_onset_biopac,RAW_e4_response_onset,RAW_param_final_fixation,RAW_param_end_instruct_onset,answer,accuracy
24,4,1,1621881815.87528,1621881815.89052,0.0633561515808103,12.0045337677002,3b_story.txt,false_belief,12.067889919281,23.0386478805542,25.7221009635925,1,left,2.68345308303833,593.334656467438,596.094656467438,1621881818.69864,1621881830.67144,1621881830.70317,1621881830.71817,1621881841.67393,1621881841.6849,1621881844.35738,1621882408.95215,1621882411.96994,1,1
24,4,1,1621881815.87528,1621881815.89052,29.5699031257629,12.0089919567108,3p_story.txt,false_photo,41.5788950824738,52.5663249397278,54.9012169742584,1,left,2.33489203453064,593.334656467438,596.094656467438,1621881848.20519,1621881860.18397,1621881860.21418,1621881860.21669,1621881871.20161,1621881871.20375,1621881873.5365,1621882408.95215,1621882411.96994,1,1
24,4,1,1621881815.87528,1621881815.89052,59.0898940467834,12.0000061988831,10p_story.txt,false_photo,71.0899002456665,82.0773308181763,84.8208379650116,2,right,2.74350714683533,593.334656467438,596.094656467438,1621881877.72518,1621881889.70981,1621881889.72518,1621881889.7349,1621881900.71261,1621881900.71815,1621881903.45612,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,88.601191034317,11.9997143745422,10b_story.txt,false_belief,100.600905408859,111.58833574295,113.952141036987,1,left,2.36380529403687,593.334656467438,596.094656467438,1621881907.23647,1621881919.22078,1621881919.23619,1621881919.25169,1621881930.22362,1621881930.23491,1621881932.58742,1621882408.95215,1621882411.96994,1,1
24,4,1,1621881815.87528,1621881815.89052,118.124418010712,12.0041656494141,1p_story.txt,false_photo,130.128583660126,141.116014232636,144.606280078888,1,left,3.49026584625244,593.334656467438,596.094656467438,1621881936.7597,1621881948.73378,1621881948.76387,1621881948.76697,1621881959.7513,1621881959.75471,1621881963.24156,1621882408.95215,1621882411.96994,1,1
24,4,1,1621881815.87528,1621881815.89052,147.638280143738,12.0179810523987,1b_story.txt,false_belief,159.656261196136,170.643692483902,174.173524131775,2,right,3.52983164787292,593.334656467438,596.094656467438,1621881966.27356,1621881978.26378,1621881978.29155,1621881978.29349,1621881989.27898,1621881989.28153,1621881992.80881,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,177.167119016647,12.0001473426819,7p_story.txt,false_photo,189.167266359329,200.154697408676,202.022189130783,2,right,1.86749172210693,593.334656467438,596.094656467438,1621881995.8024,1621882007.78759,1621882007.80255,1621882007.80459,1621882018.78998,1621882018.80137,1621882020.65747,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,206.677070131302,12.0012018680573,7b_story.txt,false_belief,218.678271999359,229.665703287125,234.659516086578,1,left,4.99381279945374,593.334656467438,596.094656467438,1621882025.31235,1621882037.30058,1621882037.31356,1621882037.31775,1621882048.30099,1621882048.30311,1621882053.2948,1621882408.95215,1621882411.96994,2,0
24,4,1,1621881815.87528,1621881815.89052,236.187829008102,12.0014486312866,5b_story.txt,false_belief,248.189277639389,259.176708450317,262.55821513176,1,left,3.38150668144226,593.334656467438,596.094656467438,1621882054.82311,1621882066.80918,1621882066.82456,1621882066.83505,1621882077.81199,1621882077.81818,1621882081.1935,1621882408.95215,1621882411.96994,1,1
24,4,1,1621881815.87528,1621881815.89052,265.700237026215,12.0000464916229,5p_story.txt,false_photo,277.700283517838,288.687713136673,291.039412965775,2,right,2.35169982910156,593.334656467438,596.094656467438,1621882084.33552,1621882096.32037,1621882096.33557,1621882096.33734,1621882107.323,1621882107.33475,1621882109.6747,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,295.209841003418,12.0014469623566,4p_story.txt,false_photo,307.211287965775,318.198718776703,321.737961044312,1,left,3.53924226760864,593.334656467438,596.094656467438,1621882113.84512,1621882125.83369,1621882125.84657,1621882125.85085,1621882136.834,1621882136.83582,1621882140.37325,1621882408.95215,1621882411.96994,2,0
24,4,1,1621881815.87528,1621881815.89052,324.720766057968,12.0015275478363,4b_story.txt,false_belief,336.722293605804,347.709724655151,350.937205066681,2,right,3.22748041152954,593.334656467438,596.094656467438,1621882143.35605,1621882155.34231,1621882155.35758,1621882155.36778,1621882166.34501,1621882166.35149,1621882169.57249,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,354.233751049042,11.9995470046997,9p_story.txt,false_photo,366.233298053741,377.220729341507,380.869513025284,2,right,3.64878368377686,593.334656467438,596.094656467438,1621882172.86904,1621882184.85327,1621882184.86858,1621882184.87033,1621882195.85601,1621882195.86875,1621882199.5048,1621882408.95215,1621882411.96994,2,1
24,4,1,1621881815.87528,1621881815.89052,383.74288105011,12.0014235973358,9b_story.txt,false_belief,395.744304647446,406.731735219955,409.203173151016,1,left,2.47143793106079,593.334656467438,596.094656467438,1621882202.37817,1621882214.3676,1621882214.37959,1621882214.38455,1621882225.36702,1621882225.36885,1621882227.83846,1621882408.95215,1621882411.96994,1,1
